paperId,externalIds,url,title,year,citationCount,openAccessPdf,fieldsOfStudy,journal,authors,abstract,matched_terms
408859045620a1a00dc2ad253a9c799cdef51eff,"{'MAG': '1483112721', 'CorpusId': 141816142}",https://www.semanticscholar.org/paper/408859045620a1a00dc2ad253a9c799cdef51eff,Manual for the Child: Behavior Checklist and Revised Child Behavior Profile,1983.0,5232,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://core.ac.uk/download/pdf/82305903.pdf, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",['Psychology'],"{'name': '', 'volume': ''}","[{'authorId': '31948147', 'name': 'T. Achenbach'}, {'authorId': '6702022', 'name': 'C. Edelbrock'}]","1877-0428 © 2012 Published by Elsevier Ltd. Selection and/or peer-review under responsibility of The Association of Science, Education and Technology doi: 10.1016/j.sbspro.2012.09.513 Professor, Department of Early Childhood Special Education, Woosuk University, South Korea Professor, Department of Psychology, Woosuk University, South Korea Professor, Department of Nursing, Woosuk University, South Korea Abstract",['child']
db51562632edfb8154e5281475cb8fa8b5ca2423,"{'MAG': '3024082351', 'PubMedCentral': '7216870', 'DOI': '10.1186/s13034-020-00329-3', 'CorpusId': 218605405, 'PubMed': '32419840'}",https://www.semanticscholar.org/paper/db51562632edfb8154e5281475cb8fa8b5ca2423,Challenges and burden of the Coronavirus 2019 (COVID-19) pandemic for child and adolescent mental health: a narrative review to highlight clinical and research needs in the acute phase and the long return to normality,2020.0,1599,"{'url': 'https://capmh.biomedcentral.com/counter/pdf/10.1186/s13034-020-00329-3', 'status': 'GOLD', 'license': 'CCBY', 'disclaimer': 'Notice: Paper or abstract available at https://pmc.ncbi.nlm.nih.gov/articles/PMC7216870, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",['Psychology'],"{'name': 'Child and Adolescent Psychiatry and Mental Health', 'volume': '14'}","[{'authorId': '32269631', 'name': 'J. Fegert'}, {'authorId': '6504772', 'name': 'B. Vitiello'}, {'authorId': '4629473', 'name': 'P. Plener'}, {'authorId': '35669256', 'name': 'V. Clemens'}]","Background The coronavirus disease 2019 (COVID-19) is profoundly affecting life around the globe. Isolation, contact restrictions and economic shutdown impose a complete change to the psychosocial environment in affected countries. These measures have the potential to threaten the mental health of children and adolescents significantly. Even though the current crisis can bring with it opportunities for personal growth and family cohesion, disadvantages may outweigh these benefits. Anxiety, lack of peer contact and reduced opportunities for stress regulation are main concerns. Another main threat is an increased risk for parental mental illness, domestic violence and child maltreatment. Especially for children and adolescents with special needs or disadvantages, such as disabilities, trauma experiences, already existing mental health problems, migrant background and low socioeconomic status, this may be a particularly challenging time. To maintain regular and emergency child and adolescent psychiatric treatment during the pandemic is a major challenge but is necessary for limiting long-term consequences for the mental health of children and adolescents. Urgent research questions comprise understanding the mental health effects of social distancing and economic pressure, identifying risk and resilience factors, and preventing long-term consequences, including—but not restricted to—child maltreatment. The efficacy of telepsychiatry is another highly relevant issue is to evaluate the efficacy of telehealth and perfect its applications to child and adolescent psychiatry. Conclusion There are numerous mental health threats associated with the current pandemic and subsequent restrictions. Child and adolescent psychiatrists must ensure continuity of care during all phases of the pandemic. COVID-19-associated mental health risks will disproportionately hit children and adolescents who are already disadvantaged and marginalized. Research is needed to assess the implications of policies enacted to contain the pandemic on mental health of children and adolescents, and to estimate the risk/benefit ratio of measures such as home schooling, in order to be better prepared for future developments.","['child', 'adolescent']"
abf840f3f021d74b5a63c55944a3421c730f05e5,"{'MAG': '2726876884', 'PubMedCentral': '3507962', 'DOI': '10.1371/journal.pmed.1001349', 'CorpusId': 818815, 'PubMed': '23209385'}",https://www.semanticscholar.org/paper/abf840f3f021d74b5a63c55944a3421c730f05e5,"The Long-Term Health Consequences of Child Physical Abuse, Emotional Abuse, and Neglect: A Systematic Review and Meta-Analysis",2012.0,3112,"{'url': 'https://journals.plos.org/plosmedicine/article/file?id=10.1371/journal.pmed.1001349&type=printable', 'status': 'GOLD', 'license': 'CCBY', 'disclaimer': 'Notice: Paper or abstract available at https://pmc.ncbi.nlm.nih.gov/articles/PMC3507962, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","['Psychology', 'Medicine']","{'name': 'PLoS Medicine', 'volume': '9'}","[{'authorId': '116156640', 'name': 'R. Norman'}, {'authorId': '6846598', 'name': 'Munkhtsetseg Byambaa'}, {'authorId': '2240516327', 'name': 'R. de'}, {'authorId': '4881880', 'name': 'A. Butchart'}, {'authorId': '2115229807', 'name': 'James Scott'}, {'authorId': '144960948', 'name': 'T. Vos'}]","Rosana Norman and colleagues conduct a systematic review and meta-analysis to assess the relationship between child physical abuse, emotional abuse, and neglect, and subsequent mental and physical health outcomes.",['child']
00da2bcc92f953e79db85167bf52e22df80a2b9e,"{'PubMedCentral': '8109838', 'DOI': '10.1371/journal.pmed.1003602', 'CorpusId': 234359991, 'PubMed': '33970913'}",https://www.semanticscholar.org/paper/00da2bcc92f953e79db85167bf52e22df80a2b9e,Parenting interventions to promote early child development in the first three years of life: A global systematic review and meta-analysis,2021.0,795,"{'url': 'https://journals.plos.org/plosmedicine/article/file?id=10.1371/journal.pmed.1003602&type=printable', 'status': 'GOLD', 'license': 'CCBY', 'disclaimer': 'Notice: Paper or abstract available at https://pmc.ncbi.nlm.nih.gov/articles/PMC8109838, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",['Medicine'],"{'name': 'PLoS Medicine', 'volume': '18'}","[{'authorId': '34713677', 'name': 'J. Jeong'}, {'authorId': '82111364', 'name': 'E. Franchett'}, {'authorId': '2486190126', 'name': 'C. V. Ramos de Oliveira'}, {'authorId': '122177337', 'name': 'K. Rehmani'}, {'authorId': '4596176', 'name': 'A. Yousafzai'}]","Background Parents are the primary caregivers of young children. Responsive parent–child relationships and parental support for learning during the earliest years of life are crucial for promoting early child development (ECD). We conducted a global systematic review and meta-analysis to evaluate the effectiveness of parenting interventions on ECD and parenting outcomes. Methods and findings We searched MEDLINE, Embase, PsycINFO, CINAHL, Web of Science, and Global Health Library for peer-reviewed, published articles from database inception until November 15, 2020. We included randomized controlled trials (RCTs) of parenting interventions delivered during the first 3 years of life that evaluated at least 1 ECD outcome. At least 2 reviewers independently screened, extracted data, and assessed study quality from eligible studies. ECD outcomes included cognitive, language, motor, and socioemotional development, behavior problems, and attachment. Parenting outcomes included parenting knowledge, parenting practices, parent–child interactions, and parental depressive symptoms. We calculated intervention effect sizes as the standardized mean difference (SMD) and estimated pooled effect sizes for each outcome separately using robust variance estimation meta-analytic approaches. We used random-effects meta-regression models to assess potential effect modification by country-income level, child age, intervention content, duration, delivery, setting, and study quality. This review was registered with PROSPERO (CRD42018092458 and CRD42018092461). Of the 11,920 articles identified, we included 111 articles representing 102 unique RCTs. Pooled effect sizes indicated positive benefits of parenting interventions on child cognitive development (SMD = 0.32, 95% CI [confidence interval]: 0.23, 0.40, P < 0.001), language development (SMD = 0.28, 95% CI: 0.18 to 0.37, P < 0.001), motor development (SMD = 0.24, 95% CI: 0.15 to 0.32, P < 0.001), socioemotional development (SMD = 0.19, 95% CI: 0.10 to 0.28, P < 0.001), and attachment (SMD = 0.29, 95% CI: 0.18 to 0.40, P < 0.001) and reductions in behavior problems (SMD = −0.13, 95% CI: −0.18 to −0.08, P < 0.001). Positive benefits were also found on parenting knowledge (SMD = 0.56, 95% CI: 0.33 to 0.79, P < 0.001), parenting practices (SMD = 0.33, 95% CI: 0.22 to 0.44, P < 0.001), and parent–child interactions (SMD = 0.39, 95% CI: 0.24 to 0.53, P < 0.001). However, there was no significant reduction in parental depressive symptoms (SMD = −0.07, 95% CI: −0.16 to 0.02, P = 0.08). Subgroup analyses revealed significantly greater effects on child cognitive, language, and motor development, and parenting practices in low- and middle-income countries compared to high-income countries; and significantly greater effects on child cognitive development, parenting knowledge, parenting practices, and parent–child interactions for programs that focused on responsive caregiving compared to those that did not. On the other hand, there was no clear evidence of effect modification by child age, intervention duration, delivery, setting, or study risk of bias. Study limitations include considerable unexplained heterogeneity, inadequate reporting of intervention content and implementation, and varying quality of evidence in terms of the conduct of trials and robustness of outcome measures used across studies. Conclusions Parenting interventions for children during the first 3 years of life are effective for improving ECD outcomes and enhancing parenting outcomes across low-, middle-, and high-income countries. Increasing implementation of effective and high-quality parenting interventions is needed globally and at scale in order to support parents and enable young children to achieve their full developmental potential.",['child']
9cb2d3ef2eafea8ad4ac60c82887e04d09524d54,"{'PubMedCentral': '8371430', 'DOI': '10.1007/s00787-021-01856-w', 'CorpusId': 237156997, 'PubMed': '34406494'}",https://www.semanticscholar.org/paper/9cb2d3ef2eafea8ad4ac60c82887e04d09524d54,The impact of COVID-19 lockdown on child and adolescent mental health: systematic review,2021.0,880,"{'url': 'https://link.springer.com/content/pdf/10.1007/s00787-021-01856-w.pdf', 'status': 'HYBRID', 'license': 'CCBY', 'disclaimer': 'Notice: Paper or abstract available at https://pmc.ncbi.nlm.nih.gov/articles/PMC8371430, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",['Medicine'],"{'name': 'European Child & Adolescent Psychiatry', 'pages': '1151 - 1177', 'volume': '32'}","[{'authorId': '2123509403', 'name': 'Urvashi Panchal'}, {'authorId': '94643656', 'name': 'Gonzalo Salazar de Pablo'}, {'authorId': '92578875', 'name': 'M. Franco'}, {'authorId': '144558728', 'name': 'Carmen Moreno'}, {'authorId': '5639126', 'name': 'M. Parellada'}, {'authorId': '144550458', 'name': 'C. Arango'}, {'authorId': '1382469815', 'name': 'P. Fusar-Poli'}]","COVID-19 was declared a pandemic in March 2020, resulting in many countries worldwide calling for lockdowns. This study aimed to review the existing literature on the effects of the lockdown measures established as a response to the COVID-19 pandemic on the mental health of children and adolescents. Embase, Ovid, Global Health, PsycINFO, Web of Science, and pre-print databases were searched in this PRISMA-compliant systematic review (PROSPERO: CRD42021225604). We included individual studies reporting on a wide range of mental health outcomes, including risk and protective factors, conducted in children and adolescents (aged ≤ 19 years), exposed to COVID-19 lockdown. Data extraction and quality appraisal were conducted by independent researchers, and results were synthesised by core themes. 61 articles with 54,999 children and adolescents were included (mean age = 11.3 years, 49.7% female). Anxiety symptoms and depression symptoms were common in the included studies and ranged 1.8–49.5% and 2.2–63.8%, respectively. Irritability (range = 16.7–73.2%) and anger (range = 30.0–51.3%), were also frequently reported by children and adolescents. Special needs and the presence of mental disorders before the lockdown, alongside excessive media exposure, were significant risk factors for anxiety. Parent–child communication was protective for anxiety and depression. The COVID-19 lockdown has resulted in psychological distress and highlighted vulnerable groups such as those with previous or current mental health difficulties. Supporting the mental health needs of children and adolescents at risk is key. Clinical guidelines to alleviate the negative effects of COVID-19 lockdown and public health strategies to support this population need to be developed.","['child', 'adolescent']"
68e05717235bbfcd789295948b810617f115fb38,"{'PubMedCentral': '7398861', 'MAG': '3047091451', 'DOI': '10.1007/s10578-020-01037-x', 'CorpusId': 220962615, 'PubMed': '32749568'}",https://www.semanticscholar.org/paper/68e05717235bbfcd789295948b810617f115fb38,"Initial Challenges of Caregiving During COVID-19: Caregiver Burden, Mental Health, and the Parent–Child Relationship",2020.0,610,"{'url': 'https://link.springer.com/content/pdf/10.1007/s10578-020-01037-x.pdf', 'status': 'HYBRID', 'license': 'other-oa', 'disclaimer': 'Notice: Paper or abstract available at https://pmc.ncbi.nlm.nih.gov/articles/PMC7398861, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","['Medicine', 'Psychology']","{'name': 'Child Psychiatry and Human Development', 'pages': '671 - 682', 'volume': '51'}","[{'authorId': '48845969', 'name': 'B. Russell'}, {'authorId': '9711104', 'name': 'M. Hutchison'}, {'authorId': '51000290', 'name': 'R. Tambling'}, {'authorId': '1857337522', 'name': 'A. Tomkunas'}, {'authorId': '2037420932', 'name': 'A. Horton'}]","Research confirms that the mental health burdens following community-wide disasters are extensive, with pervasive impacts noted in individuals and families. It is clear that child disaster outcomes are worst among children of highly distressed caregivers, or those caregivers who experience their own negative mental health outcomes from the disaster. The current study used path analysis to examine concurrent patterns of parents’ (n = 420) experience from a national sample during the early months of the U.S. COVID-19 pandemic. The results of a multi-group path analysis, organized by parent gender, indicate good fit to the data [X2(10) = 159.04, p < .01]. Results indicate significant linkages between parents’ caregiver burden, mental health, and perceptions of children’s stress; these in turn are significantly linked to child-parent closeness and conflict, indicating possible spillover effects for depressed parents and compensatory effects for anxious parents. The impact of millions of families sheltering in place during the COVID-19 pandemic for an undefined period of time may lead to unprecedented impacts on individuals’ mental health with unknown impacts on child-parent relationships. These impacts may be heightened for families whose caregivers experience increased mental health symptoms, as was the case for fathers in the current sample.",['child']
ef9d14a2f2d1f25ed25bbbe44e7b5f29314ca5b2,"{'MAG': '3005921704', 'PubMedCentral': '7081433', 'DOI': '10.1016/j.chiabu.2020.104361', 'CorpusId': 211135695, 'PubMed': '32062423'}",https://www.semanticscholar.org/paper/ef9d14a2f2d1f25ed25bbbe44e7b5f29314ca5b2,Child Maltreatment and Depression: A Meta-Analysis of Studies Using the Childhood Trauma Questionnaire,2020.0,513,"{'url': 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7081433', 'status': 'GREEN', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://pmc.ncbi.nlm.nih.gov/articles/PMC7081433, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",['Medicine'],"{'name': 'Child abuse & neglect', 'pages': '104361 - 104361', 'volume': '102'}","[{'authorId': '2449915', 'name': 'K. Humphreys'}, {'authorId': '4133302', 'name': 'J. LeMoult'}, {'authorId': '1492204985', 'name': 'John G. Wear'}, {'authorId': '1492200643', 'name': 'Hannah A. Piersiak'}, {'authorId': '2435908407', 'name': 'Aaron Lee'}, {'authorId': '3129282', 'name': 'I. Gotlib'}]","Background Researchers have documented that child maltreatment is associated with adverse long-term consequences for mental health, including increased risk for depression. Attempts to conduct meta-analyses of the association between different forms of child maltreatment and depressive symptomatology in adulthood, however, have been limited by the wide range of definitions of child maltreatment in the literature. Objective We sought to meta-analyze a single, widely-used dimensional measure of child maltreatment, the Childhood Trauma Questionnaire, with respect to depression diagnosis and symptom scores. Participants and Setting: 192 unique samples consisting of 68,830 individuals. Methods We explored the association between total scores and scores from specific forms of child maltreatment (i.e., emotional abuse, physical abuse, sexual abuse, emotional neglect, and physical neglect) and depression using a random-effects meta-analysis. Results We found that higher child maltreatment scores were associated with a diagnosis of depression (g=1.07; 95% CI, 0.95−1.19) and with higher depression symptom scores (Z=.35; 95% CI, .32−.38). Moreover, although each type of child maltreatment was positively associated with depression diagnosis and scores, there was variability in the size of the effects, with emotional abuse and emotional neglect demonstrating the strongest associations. Conclusions These analyses provide important evidence of the link between child maltreatment and depression, and highlight the particularly larger association with emotional maltreatment in childhood.",['child']
15ccdbcd2a6633f94769cd7c9d9987b42049f55a,"{'MAG': '2922109459', 'DOI': '10.1111/cch.12661', 'CorpusId': 78092384, 'PubMed': '30870584'}",https://www.semanticscholar.org/paper/15ccdbcd2a6633f94769cd7c9d9987b42049f55a,The role of parental self‐efficacy in parent and child well‐being: A systematic review of associated outcomes,2019.0,525,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1111/cch.12661?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1111/cch.12661, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","['Medicine', 'Psychology']","{'name': 'Child: Care, Health and Development', 'pages': '333–363', 'volume': '45'}","[{'authorId': '9035520', 'name': 'Ariana M. Albanese'}, {'authorId': '82028349', 'name': 'G. Russo'}, {'authorId': '4466485', 'name': 'P. Geller'}]","BACKGROUND
For decades, parental self-efficacy (PSE), or parents' belief in their ability to influence their child in a healthy and success-promoting manner, has been understood as a key factor in promoting healthy functioning for parents and their children. In that time, an extensive collection of research examining the specific impact of PSE on parents and their children has developed. However, to the authors' knowledge, no comprehensive and systematic review of the outcomes linked to this factor exists, and the two most closely related non-systematic reviews were published over 10 years ago.


METHODS
Therefore, by utilizing an iteratively optimized set of search terms applied across four databases, the current review sought to systematically collect, synthesize, and present the extant literature concerning the role of PSE in parent and child well-being.


RESULTS
This search strategy yielded a total of 115 studies, the results of which were organized into three broad thematic categories relating to: the parent and child relationship, parental mental health, or child development.


CONCLUSIONS
These results recapitulate the clinical relevance of PSE, and provide an updated and comprehensive understanding of both the role PSE plays in the welfare of parents and children, as well as the gaps in the literature as it currently stands.",['child']
3b4db951b9258ab548e0d7fc9385c1b1dab722f0,"{'MAG': '2966112560', 'DOI': '10.1016/j.chiabu.2019.104082', 'CorpusId': 199387672, 'PubMed': '31374447'}",https://www.semanticscholar.org/paper/3b4db951b9258ab548e0d7fc9385c1b1dab722f0,The association between five forms of child maltreatment and depressive and anxiety disorders: A systematic review and meta-analysis.,2019.0,459,"{'url': 'https://figshare.com/articles/journal_contribution/The_association_between_five_forms_of_child_maltreatment_and_depressive_and_anxiety_disorders_A_systematic_review_and_meta-analysis/20630601', 'status': 'GREEN', 'license': 'CCBY', 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1016/j.chiabu.2019.104082?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1016/j.chiabu.2019.104082, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",['Medicine'],"{'name': 'Child abuse & neglect', 'pages': '\n          104082\n        ', 'volume': '96'}","[{'authorId': '2061751678', 'name': 'M. Gardner'}, {'authorId': '2268347935', 'name': 'H. Thomas'}, {'authorId': '2268342520', 'name': 'H. Erskine'}]","BACKGROUND
Child maltreatment is a global public health issue that encompasses physical abuse, sexual abuse, emotional abuse, neglect, and exposure to intimate partner violence (IPV). This systematic review and meta-analysis summarises the association between these five forms of child maltreatment and depressive and anxiety disorders.


METHODS
Published cohort and case-control studies were included if they reported associations between any form of child maltreatment (and/or a combination of), and depressive and anxiety disorders. A total of 604 studies were assessed for eligibility, 106 met inclusion criteria, and 96 were included in meta-analyses. The data were pooled in random effects meta-analyses, giving odds ratios (ORs) with corresponding 95% confidence intervals (CIs) for each form of child maltreatment.


RESULTS
All forms of child maltreatment were associated with depressive disorders (any child maltreatment [OR = 2.48, 2.14-2.87]; sexual abuse [OR = 2.11, 1.83-2.44]; physical abuse [OR = 1.78, 1.57-2.01]; emotional abuse [OR = 2.35, 1.74-3.18]; neglect [OR = 1.65, 1.35-2.02]; and exposure to IPV [OR = 1.68, 1.34-2.10]). Several forms of child maltreatment were significantly associated with anxiety disorders ('any child maltreatment' [OR = 1.68, 1.33-2.4]; sexual abuse [OR = 1.90, 1.6-2.25]; physical abuse [OR = 1.56, 1.39-1.76]; and neglect [OR = 1.34, 1.09-1.65]). Significant associations were also found between several forms of child maltreatment and post-traumatic stress disorder (PTSD).


CONCLUSIONS
There is a robust association between five forms of child maltreatment and the development of mental disorders. The Global Burden of Disease Study (GBD) includes only sexual abuse as a risk factor for depressive and anxiety disorders. These findings support the inclusion of additional forms of child maltreatment as risk factors in GBD.",['child']
348b04d613becd93dd4c9128910f3fc00504223d,"{'PubMedCentral': '11211171', 'DOI': '10.1007/s00787-022-02027-1', 'CorpusId': 251021733, 'PubMed': '35876894'}",https://www.semanticscholar.org/paper/348b04d613becd93dd4c9128910f3fc00504223d,"Parent, child, and situational factors associated with parenting stress: a systematic review",2022.0,234,"{'url': 'https://link.springer.com/content/pdf/10.1007/s00787-022-02027-1.pdf', 'status': 'HYBRID', 'license': 'CCBY', 'disclaimer': 'Notice: Paper or abstract available at https://pmc.ncbi.nlm.nih.gov/articles/PMC11211171, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",['Medicine'],"{'name': 'European Child & Adolescent Psychiatry', 'pages': '1687 - 1705', 'volume': '33'}","[{'authorId': '2112808811', 'name': 'Yuan Fang'}, {'authorId': '1486411038', 'name': 'Jie Luo'}, {'authorId': '2179028580', 'name': 'Marloes Boele'}, {'authorId': '4426839', 'name': 'Dafna A. Windhorst'}, {'authorId': '3755911', 'name': 'A. van Grieken'}, {'authorId': '49694378', 'name': 'H. Raat'}]","Parenting stress has been related to adverse health outcomes in parents, children, and their families. This systematic review aimed to provide an overview of parental, child, and situational factors related to parenting stress in mothers and fathers. We searched Embase, Medline Epub (Ovid), PsychInfo (Ovid), Web of Science, and Google scholar for studies published between January 1980 and May 2021 evaluating the association between at least one factor and parenting stress. Studies were included only if they reported the association in a general population sample of mothers and fathers with children aged 0–12 years. The parent–child relationship model by Abidin guided the data synthesis. Quality of the evidence was assessed using the Standard Quality Assessment Criteria for Evaluating Primary Research Papers from a variety of fields. In total, 29 studies were included with excellent quality (55%), good (31%), and adequate (14%) methodological quality. There was evidence of an association between maternal depression, child overall problems, child externalizing and internalizing problems, social support, maternal educational level and maternal parenting stress. Evidence was inconsistent for an association between maternal anxiety, family income and maternal parenting stress. There was no evidence of an association for maternal age, child sex and maternal parenting stress. Several modifiable factors (i.e., parental depression and social support) were identified that might guide the development of preventive interventions. Future research should employ longitudinal study designs evaluating protective and risk factors and the pathways that lead to parenting stress, among both fathers and mothers.",['child']
