source,target,weight
health,mental,143
early,education,124
activity,physical,118
health,education,117
school,students,112
school,high,107
health,school,101
education,school,98
early,development,83
health,social,75
health,sexual,74
education,social,71
education,development,70
school,social,65
development,social,63
social,media,62
early,learning,60
social,emotional,60
academic,achievement,58
education,learning,58
early,teachers,58
education,sexual,58
education,students,57
social,support,56
school,adolescents,55
education,sex,55
school,academic,52
education,educational,51
school,teachers,50
school,secondary,50
school,family,50
school,out,49
health,development,47
school,educational,46
academic,performance,46
social,skills,45
school,support,45
health,physical,45
early,educators,44
health,adolescents,44
education,programs,43
health,knowledge,43
education,teachers,42
education,support,42
development,cognitive,41
school,mothers,41
health,interventions,41
school,pregnancy,41
social,educational,40
students,teachers,40
health,evidence,40
health,educational,40
school,schools,40
health,care,39
health,support,38
education,schools,38
education,pregnancy,37
health,public,37
students,leadership,37
students,learning,37
mental,school,37
students,schools,37
health,life,37
development,support,36
social,self,36
development,learning,36
school,self,36
early,school,35
social,academic,35
development,programs,35
secondary,schools,34
social,learning,34
education,knowledge,34
early,social,34
health,schools,34
education,training,33
development,emotional,33
students,academic,32
physical,social,32
health,adult,32
school,performance,32
education,care,31
school,while,31
early,educational,31
health,problems,30
health,intervention,30
school,experiences,30
education,high,30
education,family,30
school,interventions,30
development,life,30
academic,problems,30
early,support,30
students,social,30
teachers,support,29
school,risk,29
school,environment,29
school,girls,29
education,adult,29
education,mothers,29
physical,development,29
development,leadership,28
students,high,28
development,skills,28
health,students,28
health,activity,28
health,media,28
school,primary,28
skills,language,28
learning,teachers,28
social,life,27
education,while,27
education,secondary,27
school,problems,27
students,development,27
development,language,27
school,emotional,27
mental,problems,26
education,experiences,26
school,evidence,26
school,engagement,26
school,development,26
school,student,26
school,policies,26
school,aged,26
school,learning,26
school,intervention,26
school,knowledge,26
high,schools,25
school,policy,25
early,teacher,25
early,care,25
education,physical,25
students,secondary,25
high,risk,25
educational,family,25
education,understanding,25
physical,school,25
social,family,25
learning,teaching,25
sexual,sex,25
social,environment,25
school,practices,24
social,teachers,24
social,justice,24
social,adolescents,24
skills,life,24
educational,parents,24
school,system,24
school,peer,24
school,sexual,24
students,grade,24
students,student,24
development,educational,24
education,academic,24
early,programs,24
health,early,24
health,self,24
learning,support,24
education,practices,24
health,behaviors,23
high,low,23
student,teacher,23
problems,behavior,23
school,parents,23
learning,skills,23
emotional,cognitive,23
development,quality,23
high,quality,23
development,evidence,23
school,grade,23
school,skills,23
family,parents,23
support,self,23
development,intervention,23
education,importance,23
health,programs,23
health,improve,23
education,parents,23
early,intervention,23
education,policies,23
education,regarding,23
early,emotional,22
health,family,22
health,risk,22
health,benefits,22
early,adulthood,22
health,challenges,22
health,information,22
health,literacy,22
early,quality,22
interviews,qualitative,22
programs,prevention,22
development,self,22
school,work,22
school,activities,22
school,behavior,22
school,teenagers,22
school,programs,22
pregnancy,girls,22
intervention,control,22
education,program,22
system,justice,21
educational,parental,21
programs,evidence,21
knowledge,regarding,21
adolescents,parents,21
development,teachers,21
school,relationships,21
education,digital,21
activity,development,21
early,covid,21
health,survey,21
health,academic,21
health,influence,21
education,teacher,21
education,out,21
school,prevention,21
development,interventions,21
life,quality,21
care,quality,21
parents,parenting,21
sexual,adolescents,21
learning,online,21
development,promote,21
self,control,21
education,quality,20
education,community,20
education,parental,20
education,settings,20
early,teaching,20
health,services,20
health,pregnancy,20
school,life,20
school,examine,20
school,community,20
school,individual,20
school,achievement,20
school,survey,20
learning,activities,20
social,parents,20
development,parenting,20
learning,educational,20
teachers,schools,20
teachers,teaching,20
support,educational,20
educational,experiences,20
risk,behaviors,20
risk,behavior,20
parents,parent,20
