node,degree_centrality,degree_count,betweenness_centrality,community,community_color,freq,weighted_degree
school,0.6,60,0.4318,5,#96CEB4,1060,2123
health,0.39,39,0.2189,0,#7B68EE,803,1523
education,0.41,41,0.2012,2,#4ECDC4,1100,1612
development,0.26,26,0.0947,1,#FF6B6B,585,858
early,0.19,19,0.093,1,#FF6B6B,534,727
parents,0.08,8,0.0579,2,#4ECDC4,314,175
quality,0.06,6,0.0457,1,#FF6B6B,173,130
survey,0.02,2,0.0392,0,#7B68EE,128,41
community,0.02,2,0.0349,2,#4ECDC4,165,40
learning,0.13,13,0.0307,1,#FF6B6B,392,412
academic,0.08,8,0.0271,5,#96CEB4,298,298
social,0.22,22,0.0248,1,#FF6B6B,614,907
risk,0.05,5,0.0228,5,#96CEB4,271,116
high,0.07,7,0.0225,5,#96CEB4,267,261
educational,0.12,12,0.0217,2,#4ECDC4,437,362
students,0.14,14,0.0209,5,#96CEB4,538,538
self,0.06,6,0.0185,1,#FF6B6B,311,162
sexual,0.05,5,0.0156,0,#7B68EE,197,202
emotional,0.05,5,0.0135,1,#FF6B6B,178,165
teachers,0.1,10,0.0108,1,#FF6B6B,318,332
family,0.06,6,0.0099,2,#4ECDC4,230,175
knowledge,0.04,4,0.0093,2,#4ECDC4,291,124
intervention,0.05,5,0.0091,1,#FF6B6B,264,124
system,0.02,2,0.0081,4,#45B7D1,125,45
life,0.06,6,0.0081,1,#FF6B6B,220,159
skills,0.06,6,0.0076,1,#FF6B6B,260,171
programs,0.07,7,0.0066,0,#7B68EE,245,190
student,0.03,3,0.0055,5,#96CEB4,144,73
pregnancy,0.04,4,0.0051,5,#96CEB4,206,120
adolescents,0.05,5,0.0048,0,#7B68EE,318,165
grade,0.02,2,0.0043,5,#96CEB4,99,47
problems,0.05,5,0.0038,0,#7B68EE,198,136
teacher,0.03,3,0.0036,2,#4ECDC4,140,69
schools,0.07,7,0.0036,5,#96CEB4,276,228
teaching,0.03,3,0.0033,1,#FF6B6B,102,65
support,0.1,10,0.0032,1,#FF6B6B,330,343
parental,0.02,2,0.0032,2,#4ECDC4,144,41
parenting,0.02,2,0.0028,2,#4ECDC4,197,41
secondary,0.04,4,0.0021,5,#96CEB4,137,136
behavior,0.03,3,0.0006,5,#96CEB4,188,65
justice,0.02,2,0.0005,4,#45B7D1,94,45
control,0.02,2,0.0002,1,#FF6B6B,139,43
out,0.02,2,0.0,5,#96CEB4,145,70
cognitive,0.02,2,0.0,1,#FF6B6B,151,64
interventions,0.03,3,0.0,0,#7B68EE,209,92
media,0.02,2,0.0,1,#FF6B6B,173,90
physical,0.06,6,0.0,3,#FFD93D,257,274
achievement,0.02,2,0.0,5,#96CEB4,127,78
sex,0.02,2,0.0,2,#4ECDC4,136,80
mental,0.03,3,0.0,0,#7B68EE,211,206
activity,0.03,3,0.0,3,#FFD93D,213,167
performance,0.02,2,0.0,5,#96CEB4,134,78
educators,0.01,1,0.0,1,#FF6B6B,115,44
care,0.04,4,0.0,0,#7B68EE,220,116
evidence,0.04,4,0.0,0,#7B68EE,216,110
mothers,0.02,2,0.0,5,#96CEB4,165,70
primary,0.01,1,0.0,5,#96CEB4,109,28
aged,0.01,1,0.0,5,#96CEB4,125,26
language,0.02,2,0.0,1,#FF6B6B,166,55
adult,0.02,2,0.0,0,#7B68EE,227,61
while,0.02,2,0.0,2,#4ECDC4,179,58
public,0.01,1,0.0,0,#7B68EE,101,37
engagement,0.01,1,0.0,5,#96CEB4,156,26
policies,0.02,2,0.0,2,#4ECDC4,88,49
girls,0.02,2,0.0,5,#96CEB4,137,51
experiences,0.03,3,0.0,2,#4ECDC4,196,76
environment,0.02,2,0.0,5,#96CEB4,129,54
leadership,0.02,2,0.0,5,#96CEB4,119,65
training,0.01,1,0.0,2,#4ECDC4,246,33
low,0.01,1,0.0,5,#96CEB4,100,23
peer,0.01,1,0.0,5,#96CEB4,118,24
practices,0.02,2,0.0,2,#4ECDC4,167,48
understanding,0.01,1,0.0,2,#4ECDC4,140,25
policy,0.01,1,0.0,5,#96CEB4,141,25
behaviors,0.02,2,0.0,0,#7B68EE,139,43
importance,0.01,1,0.0,2,#4ECDC4,104,23
improve,0.01,1,0.0,0,#7B68EE,110,23
benefits,0.01,1,0.0,0,#7B68EE,89,22
work,0.01,1,0.0,5,#96CEB4,180,22
activities,0.02,2,0.0,5,#96CEB4,174,42
program,0.01,1,0.0,2,#4ECDC4,150,22
regarding,0.02,2,0.0,2,#4ECDC4,105,44
literacy,0.01,1,0.0,0,#7B68EE,97,22
challenges,0.01,1,0.0,0,#7B68EE,134,22
information,0.01,1,0.0,0,#7B68EE,120,22
prevention,0.02,2,0.0,0,#7B68EE,103,43
adulthood,0.01,1,0.0,1,#FF6B6B,88,22
qualitative,0.01,1,0.0,6,#FF8C94,139,22
interviews,0.01,1,0.0,6,#FF8C94,124,22
promote,0.01,1,0.0,1,#FF6B6B,87,21
relationships,0.01,1,0.0,5,#96CEB4,160,21
online,0.01,1,0.0,1,#FF6B6B,149,21
teenagers,0.01,1,0.0,5,#96CEB4,202,22
covid,0.01,1,0.0,1,#FF6B6B,86,21
digital,0.01,1,0.0,2,#4ECDC4,143,21
parent,0.01,1,0.0,2,#4ECDC4,150,20
influence,0.01,1,0.0,0,#7B68EE,114,21
examine,0.01,1,0.0,5,#96CEB4,113,20
settings,0.01,1,0.0,2,#4ECDC4,86,20
services,0.01,1,0.0,0,#7B68EE,117,20
individual,0.01,1,0.0,5,#96CEB4,90,20
