source,target,weight
school,with,201
school,students,112
school,high,107
school,health,101
school,education,98
school,social,65
school,among,57
school,adolescents,55
school,academic,52
school,secondary,50
school,teachers,50
school,family,50
school,out,49
school,educational,46
school,support,45
school,well,41
school,pregnancy,41
school,mothers,41
school,schools,40
school,mental,37
school,self,36
school,early,35
school,performance,32
school,while,31
school,interventions,30
school,one,30
school,experiences,30
school,environment,29
school,girls,29
school,risk,29
school,primary,28
school,within,28
school,problems,27
school,emotional,27
school,whether,27
school,aged,26
school,knowledge,26
school,development,26
school,engagement,26
school,evidence,26
school,learning,26
school,intervention,26
school,student,26
school,policy,25
school,physical,25
with,education,175
with,health,120
with,social,114
with,educational,98
with,students,98
with,parents,86
with,development,73
with,support,71
with,adolescents,69
with,early,67
with,learning,67
with,high,65
with,self,62
with,skills,60
with,well,59
with,risk,58
with,teachers,58
with,adults,57
with,experiences,56
with,training,56
with,care,55
with,among,54
with,problems,53
with,knowledge,53
with,mental,49
with,one,49
with,adult,49
with,work,49
with,life,46
with,while,46
with,relationships,46
with,interviews,46
with,schools,44
with,physical,43
with,academic,43
with,qualitative,42
with,both,41
with,programs,41
with,three,40
with,evidence,40
with,focus,40
with,intervention,39
with,teenagers,39
with,abstract,38
with,sexual,37
with,challenges,36
with,behavior,36
with,families,35
with,services,35
with,interventions,34
with,mothers,34
with,emotional,34
with,two,33
with,teacher,32
with,activities,32
with,out,32
with,language,31
with,family,31
with,quality,31
with,participation,31
with,parental,30
with,experience,30
with,engagement,29
with,aged,29
with,community,29
with,pregnancy,29
with,media,29
with,only,29
with,secondary,29
with,developmental,28
with,performance,28
with,activity,28
with,system,28
with,survey,27
with,online,27
with,transition,27
with,identified,26
with,help,26
with,population,26
with,practices,26
with,control,26
with,environment,26
with,understanding,26
with,practice,26
with,behaviors,25
with,within,25
with,less,24
with,gender,24
education,early,124
education,health,117
education,social,71
education,development,70
education,learning,58
education,sexual,58
education,students,57
education,sex,55
education,educational,51
education,programs,43
education,abstract,42
education,support,42
education,teachers,42
education,within,38
education,schools,38
education,pregnancy,37
education,knowledge,34
education,training,33
education,care,31
education,family,30
education,well,30
education,high,30
education,adult,29
education,mothers,29
education,both,28
education,one,27
education,while,27
education,secondary,27
education,experiences,26
education,among,25
education,physical,25
education,understanding,25
health,mental,143
health,social,75
health,sexual,74
health,well,51
health,development,47
health,physical,45
health,adolescents,44
health,knowledge,43
health,interventions,41
health,educational,40
health,evidence,40
health,care,39
health,support,38
health,public,37
health,life,37
health,schools,34
health,adult,32
health,problems,30
health,intervention,30
health,students,28
health,activity,28
health,media,28
health,among,26
health,background,24
mental,problems,26
early,development,83
early,learning,60
early,teachers,58
early,educators,44
early,social,34
early,educational,31
early,support,30
early,care,25
early,teacher,25
activity,physical,118
physical,social,32
physical,development,29
social,development,63
social,media,62
social,emotional,60
social,support,56
social,skills,45
social,educational,40
social,self,36
social,academic,35
social,learning,34
social,well,32
social,students,30
social,life,27
social,family,25
social,environment,25
students,teachers,40
students,schools,37
students,learning,37
students,leadership,37
students,among,33
students,academic,32
students,high,28
students,development,27
students,secondary,25
high,risk,25
high,schools,25
educational,family,25
educational,parents,24
development,cognitive,41
development,learning,36
development,support,36
development,programs,35
development,emotional,33
development,life,30
development,well,30
development,skills,28
development,leadership,28
development,language,27
development,abstract,25
sexual,sex,25
support,teachers,29
support,learning,24
learning,teachers,28
learning,teaching,25
skills,language,28
academic,achievement,58
academic,performance,46
academic,problems,30
secondary,schools,34
