source,target,weight
justice,system,183
health,mental,136
abuse,sexual,130
justice,criminal,104
human,rights,82
justice,involved,75
health,care,68
system,criminal,66
justice,health,62
health,public,57
rights,convention,57
legal,adolescents,46
law,legal,46
sexual,exploitation,45
justice,involvement,44
health,services,44
laws,state,42
rights,legal,42
justice,mental,41
offenders,risk,40
system,involvement,40
health,adolescents,39
justice,contact,38
abuse,cases,38
system,legal,37
sexual,risk,36
health,legal,36
health,rights,35
adverse,experiences,34
health,social,34
health,problems,34
justice,systems,34
informed,trauma,34
system,involved,33
offenders,adult,32
system,contact,32
system,health,31
health,treatment,31
legal,police,31
sex,trafficking,31
criminal,offenders,31
health,sexual,30
legal,social,29
legal,ethical,29
involvement,parental,29
mental,problems,29
justice,aces,29
abuse,physical,29
justice,police,28
justice,trauma,28
sexual,violence,28
sexual,legal,27
justice,risk,26
justice,offenders,26
health,involved,26
justice,practice,26
criminal,law,26
risk,assessment,26
experiences,aces,26
legal,protection,26
adolescents,consent,26
laws,policies,25
legal,consent,25
practice,policy,25
abuse,substance,25
criminal,adult,25
health,involvement,24
mental,substance,24
abuse,risk,24
justice,welfare,24
risk,offending,23
risk,adult,23
family,school,23
rights,protection,23
health,risk,23
justice,services,23
legal,policy,23
health,substance,23
health,consent,23
sexual,criminal,23
sexual,adolescents,23
rights,care,22
human,trafficking,22
adverse,aces,22
law,social,22
care,out,22
legal,laws,22
rights,law,22
rights,social,22
laws,firearm,22
offenders,recidivism,22
health,information,22
sexual,adult,22
sexual,cases,22
laws,consent,22
risk,treatment,21
criminal,police,21
parental,consent,21
sexual,sex,21
health,human,21
health,policy,21
health,law,21
sexual,offenders,21
abuse,offenders,21
system,care,21
justice,care,21
criminal,risk,21
legal,framework,21
efforts,prevention,21
physical,psychological,20
justice,court,20
system,risk,20
system,protection,20
justice,policy,20
justice,legal,20
justice,informed,20
adolescents,social,20
criminal,legal,20
care,adolescents,20
rights,adolescents,20
rights,framework,20
exploitation,trafficking,20
social,protection,19
system,mental,19
justice,adult,19
health,education,19
justice,treatment,19
justice,experiences,19
early,marriage,19
risk,recidivism,19
rights,education,19
rights,right,19
legal,court,19
risk,evidence,19
treatment,consent,18
mental,services,18
sexual,victims,18
sexual,rights,18
justice,adolescents,18
protection,participation,18
risk,high,18
social,psychological,18
social,policy,18
offenders,sex,18
health,professionals,18
justice,interventions,18
health,population,18
health,laws,18
mental,treatment,18
mental,involvement,18
mental,care,18
rights,development,18
laws,access,18
services,laws,18
system,police,18
health,criminal,18
health,adult,18
health,early,17
system,offenders,17
system,aces,17
early,education,17
social,work,17
involvement,risk,17
care,access,17
care,medical,17
criminal,contact,17
criminal,involvement,17
legal,challenges,17
legal,medical,17
social,family,17
care,state,17
health,access,17
mental,involved,17
health,trauma,17
sexual,offending,17
sexual,social,17
health,challenges,17
abuse,evidence,17
health,high,16
justice,social,16
justice,adults,16
system,welfare,16
sexual,physical,16
sexual,policy,16
sexual,trafficking,16
justice,evidence,16
treatment,assessment,16
contact,police,16
risk,substance,16
law,state,16
care,legal,16
criminal,crime,16
criminal,aces,16
human,legal,16
rights,state,16
family,parents,16
social,education,16
services,access,16
right,education,16
risk,violence,16
legal,development,16
law,adolescents,16
criminal,offending,16
rights,participation,16
justice,adverse,15
legal,parents,15
care,consent,15
public,legal,15
legal,understanding,15
abuse,emotional,15
health,abuse,15
health,act,15
abuse,criminal,15
abuse,social,15
justice,delinquency,15
justice,support,15
system,experiences,15
system,adult,15
firearm,suicide,15
offenders,characteristics,15
offenders,treatment,15
adolescents,parents,15
adolescents,policy,15
adolescents,adults,15
legal,parental,15
legal,adults,15
care,support,15
rights,practice,15
rights,public,15
criminal,case,15
human,law,15
rights,under,15
care,treatment,15
care,risk,15
legal,professionals,15
legal,state,15
sexual,services,14
sexual,evidence,14
abuse,experiences,14
health,court,14
health,practice,14
abuse,victims,14
sexual,substance,14
public,policy,14
care,laws,14
services,social,14
legal,while,14
risk,parents,14
risk,identified,14
parents,parent,14
