node,degree_centrality,degree_count,betweenness_centrality,community,community_color,freq,weighted_degree
health,0.4022,37,0.2037,1,#FF6B6B,513,1092
legal,0.3261,30,0.1756,4,#45B7D1,522,700
justice,0.3478,32,0.1472,3,#FFD93D,527,1078
sexual,0.2391,22,0.1259,2,#4ECDC4,401,588
care,0.1739,16,0.1087,1,#FF6B6B,287,333
social,0.163,15,0.106,4,#45B7D1,275,294
risk,0.2174,20,0.098,2,#4ECDC4,379,431
rights,0.2065,19,0.0935,4,#45B7D1,444,496
criminal,0.1848,17,0.093,3,#FFD93D,306,467
abuse,0.1413,13,0.0735,2,#4ECDC4,321,372
laws,0.0978,9,0.0707,1,#FF6B6B,220,201
parents,0.0543,5,0.046,4,#45B7D1,209,74
system,0.1848,17,0.0345,3,#FFD93D,326,600
offenders,0.1196,11,0.0342,2,#4ECDC4,251,258
treatment,0.087,8,0.0303,2,#4ECDC4,173,153
services,0.0761,7,0.0246,1,#FF6B6B,162,147
family,0.0326,3,0.0237,4,#45B7D1,177,56
trafficking,0.0435,4,0.0223,2,#4ECDC4,105,89
early,0.0326,3,0.0213,1,#FF6B6B,140,53
firearm,0.0217,2,0.0213,1,#FF6B6B,69,37
education,0.0543,5,0.0203,4,#45B7D1,131,87
mental,0.1087,10,0.0202,1,#FF6B6B,171,338
adolescents,0.1304,12,0.0196,4,#45B7D1,285,273
practice,0.0435,4,0.013,4,#45B7D1,152,80
human,0.0543,5,0.0124,4,#45B7D1,139,156
evidence,0.0435,4,0.0117,2,#4ECDC4,178,66
policy,0.087,8,0.01,4,#45B7D1,194,152
protection,0.0543,5,0.0086,4,#45B7D1,221,106
court,0.0326,3,0.0083,4,#45B7D1,170,53
public,0.0435,4,0.0079,1,#FF6B6B,138,101
law,0.087,8,0.0049,4,#45B7D1,332,184
professionals,0.0217,2,0.0035,1,#FF6B6B,71,33
substance,0.0543,5,0.0033,1,#FF6B6B,89,102
adult,0.0761,7,0.0031,2,#4ECDC4,188,154
involvement,0.0761,7,0.0031,3,#FFD93D,140,189
consent,0.0761,7,0.0031,4,#45B7D1,146,150
aces,0.0543,5,0.0029,3,#FFD93D,92,110
state,0.0543,5,0.0022,1,#FF6B6B,217,106
experiences,0.0543,5,0.0022,3,#FFD93D,123,108
access,0.0435,4,0.002,1,#FF6B6B,128,68
trauma,0.0326,3,0.0017,3,#FFD93D,106,79
adults,0.0326,3,0.0008,4,#45B7D1,145,46
exploitation,0.0217,2,0.0,2,#4ECDC4,72,65
involved,0.0435,4,0.0,3,#FFD93D,163,151
convention,0.0109,1,0.0,4,#45B7D1,74,57
problems,0.0217,2,0.0,1,#FF6B6B,109,63
informed,0.0217,2,0.0,3,#FFD93D,74,54
cases,0.0217,2,0.0,2,#4ECDC4,155,60
contact,0.0435,4,0.0,3,#FFD93D,109,103
ethical,0.0109,1,0.0,4,#45B7D1,66,29
policies,0.0109,1,0.0,1,#FF6B6B,123,25
school,0.0109,1,0.0,4,#45B7D1,132,23
welfare,0.0217,2,0.0,3,#FFD93D,88,40
assessment,0.0217,2,0.0,2,#4ECDC4,88,42
violence,0.0217,2,0.0,2,#4ECDC4,183,44
physical,0.0326,3,0.0,2,#4ECDC4,83,65
parental,0.0326,3,0.0,4,#45B7D1,127,65
police,0.0543,5,0.0,3,#FFD93D,199,114
sex,0.0326,3,0.0,2,#4ECDC4,123,70
adverse,0.0326,3,0.0,3,#FFD93D,63,71
systems,0.0109,1,0.0,3,#FFD93D,86,34
psychological,0.0217,2,0.0,2,#4ECDC4,95,38
framework,0.0217,2,0.0,4,#45B7D1,98,41
prevention,0.0109,1,0.0,0,#7B68EE,106,21
efforts,0.0109,1,0.0,0,#7B68EE,74,21
recidivism,0.0217,2,0.0,2,#4ECDC4,89,41
information,0.0109,1,0.0,1,#FF6B6B,147,22
out,0.0109,1,0.0,1,#FF6B6B,113,22
offending,0.0326,3,0.0,2,#4ECDC4,157,56
participation,0.0217,2,0.0,4,#45B7D1,110,34
development,0.0217,2,0.0,4,#45B7D1,170,34
high,0.0217,2,0.0,2,#4ECDC4,126,34
victims,0.0217,2,0.0,2,#4ECDC4,102,32
population,0.0109,1,0.0,1,#FF6B6B,102,18
interventions,0.0109,1,0.0,3,#FFD93D,98,18
right,0.0217,2,0.0,4,#45B7D1,119,35
marriage,0.0109,1,0.0,1,#FF6B6B,83,19
challenges,0.0217,2,0.0,4,#45B7D1,104,34
work,0.0109,1,0.0,4,#45B7D1,104,17
crime,0.0109,1,0.0,3,#FFD93D,113,16
medical,0.0217,2,0.0,4,#45B7D1,124,34
emotional,0.0109,1,0.0,2,#4ECDC4,70,15
support,0.0217,2,0.0,1,#FF6B6B,131,30
case,0.0109,1,0.0,3,#FFD93D,142,15
understanding,0.0109,1,0.0,4,#45B7D1,109,15
characteristics,0.0109,1,0.0,2,#4ECDC4,90,15
suicide,0.0109,1,0.0,1,#FF6B6B,65,15
under,0.0109,1,0.0,4,#45B7D1,132,15
delinquency,0.0109,1,0.0,3,#FFD93D,64,15
act,0.0109,1,0.0,1,#FF6B6B,111,15
identified,0.0109,1,0.0,2,#4ECDC4,112,14
parent,0.0109,1,0.0,4,#45B7D1,67,14
while,0.0109,1,0.0,4,#45B7D1,158,14
