source,target,weight
health,mental,697
media,social,146
health,problems,135
anxiety,depression,132
health,social,131
mental,disorders,113
mental,problems,111
health,adolescents,111
health,risk,98
mental,adolescents,94
health,care,89
depressive,symptoms,86
health,public,83
health,services,82
mental,risk,80
social,support,73
health,physical,71
health,disorders,69
anxiety,symptoms,68
harm,self,65
emotion,regulation,65
abuse,sexual,65
health,interventions,65
mental,services,65
health,service,63
health,support,61
disorders,psychiatric,61
depression,symptoms,61
health,evidence,61
mental,social,60
social,adolescents,59
anxiety,disorders,58
covid,pandemic,58
risk,high,57
help,seeking,56
social,risk,56
adolescents,adults,56
physical,abuse,54
health,depression,54
adolescents,risk,53
health,media,53
health,covid,52
depression,risk,51
social,development,51
health,treatment,51
health,pandemic,50
health,digital,50
justice,system,50
health,poor,49
social,self,49
analyses,meta,49
health,school,49
health,sexual,47
health,self,47
mental,care,47
mental,interventions,46
mental,physical,46
mental,service,46
mental,support,46
mental,evidence,45
mental,pandemic,45
social,anxiety,45
mental,covid,45
health,adults,44
health,help,44
health,adult,44
adulthood,early,44
health,development,43
health,symptoms,42
health,systematic,42
physical,activity,42
health,experiences,41
anxiety,disorder,41
disorders,risk,41
health,information,41
school,students,40
aged,asd,40
mental,depression,40
health,aged,40
mental,symptoms,40
development,early,39
high,school,39
mental,help,39
depression,adolescents,39
interventions,effective,38
anxiety,depressive,38
problems,risk,38
development,brain,38
mental,disorder,36
adolescents,pandemic,36
adolescents,parents,36
mental,treatment,36
health,anxiety,36
health,early,36
health,online,36
depression,self,36
risk,suicide,36
health,survey,36
risk,behaviors,35
health,behaviors,35
mental,high,35
meta,systematic,35
health,high,35
mental,poor,34
health,substance,34
social,depression,34
depression,disorder,34
risk,behavior,34
symptoms,ptsd,34
mental,anxiety,34
disorder,stress,34
symptoms,self,34
problems,anxiety,33
symptoms,stress,33
social,emotional,33
health,status,33
health,adulthood,33
depression,treatment,33
health,maltreatment,33
health,adverse,33
mental,substance,32
health,conditions,32
adolescents,covid,32
adolescents,behavior,32
sexual,sex,32
health,bullying,32
mental,systematic,32
abuse,substance,32
experiences,adverse,32
symptoms,disorder,32
health,education,31
social,influence,31
social,adults,31
social,peer,31
behavioral,cognitive,31
stress,parenting,31
adolescents,symptoms,31
interventions,evidence,31
intervention,prevention,30
cognitive,control,30
early,life,30
disorders,substance,30
depression,stress,30
anxiety,self,30
mental,adults,30
mental,digital,30
risk,sexual,30
social,physical,30
anxiety,stress,30
distress,psychological,29
depression,adult,29
disorders,disorder,29
gender,identity,29
behavior,suicidal,29
problems,symptoms,29
health,long,29
health,seeking,29
health,only,29
health,life,29
risk,self,29
risk,abuse,29
health,psychological,28
health,family,28
adolescents,aged,28
disorders,adolescents,28
physical,sexual,28
self,suicidal,28
exposure,trauma,28
risk,early,28
problems,depression,28
mental,online,28
mental,self,28
mental,aged,28
health,aces,28
social,problems,27
adolescents,school,27
help,online,27
adolescents,treatment,27
health,better,27
health,population,27
health,transgender,27
mental,adult,27
support,interventions,27
media,adolescents,27
mental,seeking,27
health,psychiatric,26
mental,adulthood,26
health,quality,26
health,parents,26
health,community,26
health,associations,26
anxiety,adolescents,26
social,psychological,26
social,brain,26
gender,transgender,26
suicide,suicidal,26
interventions,treatment,26
experiences,aces,26
support,family,26
depression,high,26
health,identify,25
mental,early,25
social,interventions,25
social,behaviors,25
anxiety,psychological,25
risk,greater,25
risk,psychopathology,25
risk,adults,25
risk,development,25
risk,family,25
high,low,25
sexual,behavior,25
development,cognitive,25
risk,maltreatment,25
health,examine,25
health,abuse,25
depression,suicidal,25
health,intervention,24
suicide,prevention,24
regulation,self,24
risk,trauma,24
risk,adult,24
social,behavior,24
risk,exposure,24
social,adult,24
mental,conditions,24
health,gender,24
mental,experiences,24
mental,school,24
symptoms,high,24
social,information,24
health,behavioral,23
mental,transgender,23
health,stress,23
risk,psychiatric,23
development,understanding,23
mental,stress,23
mental,development,23
problems,psychiatric,23
social,life,23
care,services,23
risk,symptoms,23
early,intervention,23
communication,parent,23
interventions,development,23
sexual,gender,23
mental,maltreatment,22
health,understanding,22
physical,emotional,22
abuse,emotional,22
