node,degree_centrality,degree_count,betweenness_centrality,community,community_color,freq,weighted_degree
health,0.6667,70,0.4117,1,#FF6B6B,1417,3776
mental,0.3905,41,0.2324,1,#FF6B6B,933,2356
risk,0.2476,26,0.119,6,#FF8C94,611,963
social,0.2286,24,0.0857,3,#FFD93D,753,1084
self,0.0952,10,0.0705,2,#4ECDC4,433,370
development,0.0857,9,0.0488,3,#FFD93D,397,290
systematic,0.0286,3,0.0363,5,#96CEB4,154,109
adolescents,0.1619,17,0.0346,0,#7B68EE,572,742
interventions,0.0762,8,0.0342,1,#FF6B6B,323,281
sexual,0.0667,7,0.033,7,#A8D8EA,287,250
stress,0.0667,7,0.0306,2,#4ECDC4,254,204
gender,0.0381,4,0.0286,7,#A8D8EA,207,102
symptoms,0.1238,13,0.0284,2,#4ECDC4,359,537
anxiety,0.1238,13,0.0277,2,#4ECDC4,349,596
psychiatric,0.0381,4,0.0242,1,#FF6B6B,154,133
school,0.0476,5,0.0225,6,#FF8C94,308,179
adult,0.0476,5,0.0214,6,#FF8C94,304,148
abuse,0.0571,6,0.0211,7,#A8D8EA,242,227
behavior,0.0476,5,0.0206,6,#FF8C94,259,144
physical,0.0667,7,0.0194,7,#A8D8EA,231,293
cognitive,0.0286,3,0.019,3,#FFD93D,179,86
high,0.0667,7,0.0187,6,#FF8C94,261,241
aged,0.0381,4,0.0183,0,#7B68EE,226,136
psychological,0.0381,4,0.0183,3,#FFD93D,194,108
regulation,0.019,2,0.0183,2,#4ECDC4,119,89
meta,0.019,2,0.0183,5,#96CEB4,140,84
maltreatment,0.0286,3,0.0177,1,#FF6B6B,178,80
intervention,0.0286,3,0.016,6,#FF8C94,178,77
life,0.0286,3,0.0149,3,#FFD93D,210,82
suicidal,0.0381,4,0.0119,6,#FF8C94,155,108
depression,0.1429,15,0.0105,2,#4ECDC4,500,652
behavioral,0.019,2,0.0103,3,#FFD93D,136,54
emotional,0.0286,3,0.0086,7,#A8D8EA,199,77
substance,0.0381,4,0.0082,1,#FF6B6B,184,128
family,0.0286,3,0.0068,3,#FFD93D,279,79
early,0.0667,7,0.0064,3,#FFD93D,296,225
suicide,0.0286,3,0.006,6,#FF8C94,230,86
prevention,0.019,2,0.0041,6,#FF8C94,138,54
problems,0.0762,8,0.0037,1,#FF6B6B,335,424
treatment,0.0476,5,0.0031,1,#FF6B6B,241,173
experiences,0.0381,4,0.0022,1,#FF6B6B,242,123
transgender,0.0286,3,0.0018,7,#A8D8EA,107,76
parents,0.019,2,0.0018,0,#7B68EE,338,62
disorders,0.0762,8,0.0011,1,#FF6B6B,351,429
disorder,0.0571,6,0.0007,2,#4ECDC4,243,206
support,0.0476,5,0.0007,3,#FFD93D,352,233
poor,0.019,2,0.0,1,#FF6B6B,101,83
analyses,0.0095,1,0.0,5,#96CEB4,150,49
justice,0.0095,1,0.0,4,#45B7D1,118,50
seeking,0.0286,3,0.0,1,#FF6B6B,118,112
covid,0.0381,4,0.0,0,#7B68EE,132,187
pandemic,0.0381,4,0.0,0,#7B68EE,125,189
depressive,0.019,2,0.0,2,#4ECDC4,138,124
public,0.0095,1,0.0,1,#FF6B6B,123,83
emotion,0.0095,1,0.0,2,#4ECDC4,105,65
harm,0.0095,1,0.0,2,#4ECDC4,97,65
service,0.019,2,0.0,1,#FF6B6B,131,109
evidence,0.0286,3,0.0,1,#FF6B6B,291,137
care,0.0286,3,0.0,1,#FF6B6B,294,159
services,0.0286,3,0.0,1,#FF6B6B,169,170
media,0.0286,3,0.0,3,#FFD93D,241,226
system,0.0095,1,0.0,4,#45B7D1,137,50
digital,0.019,2,0.0,1,#FF6B6B,108,80
adults,0.0476,5,0.0,0,#7B68EE,282,186
help,0.0381,4,0.0,1,#FF6B6B,150,166
online,0.0286,3,0.0,1,#FF6B6B,194,91
brain,0.019,2,0.0,3,#FFD93D,179,64
survey,0.0095,1,0.0,1,#FF6B6B,153,36
students,0.0095,1,0.0,6,#FF8C94,114,40
effective,0.0095,1,0.0,1,#FF6B6B,112,38
asd,0.0095,1,0.0,0,#7B68EE,220,40
adulthood,0.0286,3,0.0,3,#FFD93D,220,103
activity,0.0095,1,0.0,7,#A8D8EA,99,42
information,0.019,2,0.0,3,#FFD93D,142,65
sex,0.0095,1,0.0,7,#A8D8EA,160,32
parenting,0.0095,1,0.0,2,#4ECDC4,138,31
conditions,0.019,2,0.0,1,#FF6B6B,91,56
bullying,0.0095,1,0.0,1,#FF6B6B,98,32
