node,degree_centrality,degree_count,betweenness_centrality,community,community_color,freq,weighted_degree
school,0.6197,44,0.4824,1,#FF6B6B,259,555
health,0.3521,25,0.1573,0,#7B68EE,197,378
adolescents,0.2394,17,0.1318,0,#7B68EE,179,193
mental,0.1549,11,0.0903,0,#7B68EE,92,154
activity,0.0704,5,0.0867,4,#45B7D1,32,49
students,0.0986,7,0.0751,3,#FFD93D,61,66
academic,0.169,12,0.062,4,#45B7D1,83,138
early,0.1268,9,0.0579,6,#FF8C94,89,105
participation,0.0423,3,0.0543,4,#45B7D1,31,22
physical,0.1127,8,0.0368,4,#45B7D1,55,78
social,0.0986,7,0.0366,1,#FF6B6B,80,75
evidence,0.0845,6,0.0356,0,#7B68EE,56,53
problems,0.0845,6,0.0352,4,#45B7D1,48,62
prevention,0.0563,4,0.0322,5,#96CEB4,30,30
education,0.0986,7,0.0274,0,#7B68EE,75,107
connectedness,0.0282,2,0.0274,1,#FF6B6B,25,22
girls,0.0282,2,0.0274,1,#FF6B6B,44,21
knowledge,0.0282,2,0.0272,0,#7B68EE,31,14
intervention,0.0704,5,0.026,5,#96CEB4,65,43
risk,0.0986,7,0.0237,5,#96CEB4,76,66
resources,0.0282,2,0.0213,1,#FF6B6B,22,14
self,0.0423,3,0.0156,5,#96CEB4,65,24
educational,0.0423,3,0.0146,6,#FF8C94,44,25
development,0.0845,6,0.0143,6,#FF8C94,76,65
cognitive,0.0563,4,0.0127,5,#96CEB4,36,29
programs,0.0423,3,0.0117,5,#96CEB4,39,24
developmental,0.0282,2,0.0099,0,#7B68EE,53,14
symptoms,0.0845,6,0.0093,2,#4ECDC4,35,55
schools,0.0563,4,0.0093,3,#FFD93D,48,36
performance,0.0704,5,0.0092,4,#45B7D1,39,50
secondary,0.0282,2,0.006,1,#FF6B6B,22,21
engagement,0.0423,3,0.004,1,#FF6B6B,36,28
control,0.0282,2,0.003,5,#96CEB4,41,14
emotional,0.0423,3,0.0014,1,#FF6B6B,33,34
achievement,0.0282,2,0.0,4,#45B7D1,44,36
sexual,0.0563,4,0.0,0,#7B68EE,52,69
family,0.0423,3,0.0,0,#7B68EE,35,31
adulthood,0.0563,4,0.0,6,#FF8C94,40,38
high,0.0282,2,0.0,1,#FF6B6B,40,23
depressive,0.0282,2,0.0,2,#4ECDC4,19,23
parent,0.0141,1,0.0,7,#A8D8EA,29,11
communication,0.0141,1,0.0,7,#A8D8EA,18,11
parents,0.0141,1,0.0,0,#7B68EE,39,11
boys,0.0141,1,0.0,1,#FF6B6B,22,11
influence,0.0282,2,0.0,1,#FF6B6B,24,19
middle,0.0141,1,0.0,1,#FF6B6B,21,11
associations,0.0282,2,0.0,1,#FF6B6B,26,18
internalizing,0.0141,1,0.0,4,#45B7D1,20,11
peer,0.0141,1,0.0,1,#FF6B6B,34,12
disorders,0.0141,1,0.0,0,#7B68EE,21,13
grade,0.0282,2,0.0,3,#FFD93D,31,20
female,0.0282,2,0.0,3,#FFD93D,26,18
relationships,0.0282,2,0.0,1,#FF6B6B,38,18
behavior,0.0282,2,0.0,5,#96CEB4,35,19
predicted,0.0141,1,0.0,1,#FF6B6B,25,10
behaviors,0.0282,2,0.0,1,#FF6B6B,33,18
individual,0.0282,2,0.0,6,#FF8C94,29,15
interventions,0.0282,2,0.0,1,#FF6B6B,35,16
depression,0.0423,3,0.0,2,#4ECDC4,30,24
anxiety,0.0423,3,0.0,2,#4ECDC4,21,22
perceived,0.0141,1,0.0,1,#FF6B6B,24,9
sexuality,0.0141,1,0.0,0,#7B68EE,18,9
spatial,0.0141,1,0.0,4,#45B7D1,22,8
support,0.0282,2,0.0,1,#FF6B6B,33,16
contextual,0.0141,1,0.0,1,#FF6B6B,20,7
life,0.0141,1,0.0,1,#FF6B6B,28,7
late,0.0141,1,0.0,6,#FF8C94,21,7
training,0.0141,1,0.0,0,#7B68EE,32,7
activities,0.0141,1,0.0,4,#45B7D1,19,7
individuals,0.0141,1,0.0,0,#7B68EE,22,7
language,0.0141,1,0.0,6,#FF8C94,26,7
teacher,0.0141,1,0.0,1,#FF6B6B,32,7
