node,degree_centrality,degree_count,betweenness_centrality,community,community_color,freq,weighted_degree
early,0.5652,39,0.3733,0,#7B68EE,378,789
health,0.1594,11,0.123,3,#FFD93D,133,128
language,0.1014,7,0.1225,1,#FF6B6B,86,85
parents,0.087,6,0.1218,5,#96CEB4,120,54
education,0.2609,18,0.0991,0,#7B68EE,240,347
development,0.3188,22,0.0962,1,#FF6B6B,209,377
parenting,0.1159,8,0.0855,5,#96CEB4,112,83
problems,0.0725,5,0.0639,3,#FFD93D,53,44
knowledge,0.058,4,0.0576,0,#7B68EE,57,37
causal,0.058,4,0.0533,5,#96CEB4,33,39
parent,0.0435,3,0.0533,5,#96CEB4,62,25
learning,0.2029,14,0.0513,0,#7B68EE,138,234
quality,0.1304,9,0.0467,5,#96CEB4,88,107
care,0.087,6,0.0388,5,#96CEB4,98,97
teachers,0.1739,12,0.035,0,#7B68EE,136,187
skills,0.087,6,0.0294,1,#FF6B6B,79,75
school,0.058,4,0.0269,3,#FFD93D,94,39
social,0.1739,12,0.0244,1,#FF6B6B,119,181
family,0.0435,3,0.0212,5,#96CEB4,65,27
emotional,0.1014,7,0.0205,1,#FF6B6B,74,111
support,0.1159,8,0.0191,0,#7B68EE,69,104
cognitive,0.0725,5,0.0149,1,#FF6B6B,55,72
technology,0.0435,3,0.0142,0,#7B68EE,26,28
intervention,0.029,2,0.0115,5,#96CEB4,56,20
practices,0.058,4,0.0107,5,#96CEB4,54,44
life,0.029,2,0.0082,1,#FF6B6B,46,19
low,0.029,2,0.0043,5,#96CEB4,42,20
professional,0.0435,3,0.0038,0,#7B68EE,41,33
teacher,0.058,4,0.0026,0,#7B68EE,59,59
educators,0.058,4,0.0017,0,#7B68EE,72,73
teaching,0.058,4,0.0014,0,#7B68EE,30,54
play,0.058,4,0.0009,1,#FF6B6B,77,52
digital,0.0435,3,0.0009,0,#7B68EE,43,39
covid,0.0435,3,0.0004,0,#7B68EE,46,48
physical,0.058,4,0.0,1,#FF6B6B,49,64
programs,0.0145,1,0.0,0,#7B68EE,42,20
maternal,0.0145,1,0.0,0,#7B68EE,46,21
pandemic,0.029,2,0.0,0,#7B68EE,27,29
high,0.029,2,0.0,5,#96CEB4,42,24
educational,0.029,2,0.0,0,#7B68EE,68,23
home,0.0145,1,0.0,5,#96CEB4,39,13
practice,0.0145,1,0.0,0,#7B68EE,33,13
settings,0.029,2,0.0,0,#7B68EE,29,29
literacy,0.0145,1,0.0,3,#FFD93D,27,15
father,0.029,2,0.0,4,#45B7D1,36,24
relationships,0.029,2,0.0,4,#45B7D1,37,23
activity,0.0435,3,0.0,1,#FF6B6B,49,53
work,0.0145,1,0.0,0,#7B68EE,38,11
poor,0.0145,1,0.0,3,#FFD93D,32,11
families,0.029,2,0.0,0,#7B68EE,50,21
screen,0.0145,1,0.0,1,#FF6B6B,39,10
involvement,0.029,2,0.0,4,#45B7D1,32,19
online,0.0145,1,0.0,0,#7B68EE,38,12
thinking,0.0145,1,0.0,5,#96CEB4,26,12
analyses,0.0145,1,0.0,2,#4ECDC4,33,9
wellbeing,0.0145,1,0.0,0,#7B68EE,30,10
meta,0.0145,1,0.0,2,#4ECDC4,27,9
interaction,0.0145,1,0.0,5,#96CEB4,25,9
systematic,0.0145,1,0.0,5,#96CEB4,31,9
experiences,0.0145,1,0.0,3,#FFD93D,39,9
improve,0.0145,1,0.0,1,#FF6B6B,26,9
evidence,0.0145,1,0.0,0,#7B68EE,35,9
strategies,0.0145,1,0.0,0,#7B68EE,27,9
while,0.0145,1,0.0,0,#7B68EE,37,9
risk,0.0145,1,0.0,0,#7B68EE,60,9
parental,0.0145,1,0.0,1,#FF6B6B,58,8
behavior,0.0145,1,0.0,3,#FFD93D,50,8
interactions,0.0145,1,0.0,5,#96CEB4,32,8
students,0.0145,1,0.0,3,#FFD93D,30,8
symptoms,0.0145,1,0.0,3,#FFD93D,29,8
