node,degree_centrality,degree_count,betweenness_centrality,community,community_color,freq,weighted_degree
education,0.3625,29,0.3974,3,#FFD93D,97,187
school,0.4625,37,0.3557,1,#FF6B6B,135,250
students,0.15,12,0.0858,6,#FF8C94,63,70
jia,0.0625,5,0.0834,6,#FF8C94,26,32
social,0.1,8,0.0806,10,#F7DC6F,49,43
educational,0.1625,13,0.0762,6,#FF8C94,51,67
delinquency,0.1625,13,0.0757,3,#FFD93D,58,74
system,0.1375,11,0.0612,0,#7B68EE,39,74
programs,0.0375,3,0.0472,3,#FFD93D,22,14
training,0.0625,5,0.0414,5,#96CEB4,20,20
delinquents,0.05,4,0.0369,2,#4ECDC4,23,20
program,0.1,8,0.036,3,#FFD93D,31,51
justice,0.15,12,0.0351,0,#7B68EE,56,92
offenders,0.075,6,0.0335,3,#FFD93D,39,42
detention,0.0375,3,0.0283,6,#FF8C94,21,13
qualitative,0.025,2,0.0237,4,#45B7D1,12,9
correctional,0.025,2,0.0237,3,#FFD93D,12,10
skills,0.025,2,0.0237,10,#F7DC6F,13,9
academic,0.05,4,0.0237,8,#DDA0DD,22,22
development,0.0375,3,0.0236,3,#FFD93D,17,14
juveniles,0.05,4,0.0235,3,#FFD93D,25,20
schools,0.075,6,0.0161,1,#FF6B6B,35,32
disease,0.0375,3,0.0128,6,#FF8C94,16,14
experiences,0.025,2,0.0123,2,#4ECDC4,13,10
out,0.0375,3,0.0095,1,#FF6B6B,16,16
treatment,0.025,2,0.0082,0,#7B68EE,14,8
effective,0.025,2,0.0059,5,#96CEB4,17,8
learning,0.0375,3,0.0051,0,#7B68EE,20,16
staff,0.05,4,0.0047,5,#96CEB4,17,17
family,0.05,4,0.0041,1,#FF6B6B,22,27
punishment,0.0375,3,0.0041,0,#7B68EE,16,16
change,0.05,4,0.004,5,#96CEB4,27,16
knowledge,0.0375,3,0.0038,5,#96CEB4,12,12
parental,0.025,2,0.0033,3,#FFD93D,13,10
crime,0.0375,3,0.0033,1,#FF6B6B,25,14
alternative,0.075,6,0.0006,0,#7B68EE,17,39
forest,0.025,2,0.0,3,#FFD93D,20,17
patients,0.025,2,0.0,6,#FF8C94,20,16
character,0.025,2,0.0,3,#FFD93D,18,19
risk,0.0375,3,0.0,3,#FFD93D,29,22
high,0.0125,1,0.0,1,#FF6B6B,21,11
criminal,0.05,4,0.0,0,#7B68EE,21,26
adolescents,0.025,2,0.0,3,#FFD93D,17,11
engagement,0.0125,1,0.0,1,#FF6B6B,11,6
support,0.025,2,0.0,10,#F7DC6F,17,12
practices,0.025,2,0.0,0,#7B68EE,21,15
individual,0.025,2,0.0,1,#FF6B6B,13,15
achievement,0.0125,1,0.0,8,#DDA0DD,10,8
health,0.0125,1,0.0,9,#98D8C8,15,8
interviews,0.0125,1,0.0,4,#45B7D1,12,5
less,0.0125,1,0.0,1,#FF6B6B,11,5
grade,0.025,2,0.0,1,#FF6B6B,15,10
facility,0.0125,1,0.0,1,#FF6B6B,16,6
recidivism,0.0125,1,0.0,3,#FFD93D,22,6
mental,0.0125,1,0.0,9,#98D8C8,11,8
disciplinary,0.05,4,0.0,0,#7B68EE,10,23
special,0.025,2,0.0,3,#FFD93D,15,14
student,0.0125,1,0.0,3,#FFD93D,12,5
behavioral,0.0125,1,0.0,6,#FF8C94,12,5
work,0.0125,1,0.0,1,#FF6B6B,12,5
environment,0.0125,1,0.0,3,#FFD93D,13,4
intervention,0.0125,1,0.0,7,#A8D8EA,18,4
early,0.0125,1,0.0,7,#A8D8EA,10,4
characteristics,0.025,2,0.0,6,#FF8C94,12,9
while,0.0125,1,0.0,1,#FF6B6B,15,5
effectiveness,0.0125,1,0.0,3,#FFD93D,10,4
evidence,0.0125,1,0.0,3,#FFD93D,12,4
population,0.025,2,0.0,6,#FF8C94,16,8
facilities,0.0125,1,0.0,3,#FFD93D,12,4
case,0.0125,1,0.0,3,#FFD93D,12,4
behavior,0.0125,1,0.0,1,#FF6B6B,26,4
communication,0.0125,1,0.0,10,#F7DC6F,14,4
rehabilitation,0.0125,1,0.0,3,#FFD93D,14,4
challenges,0.0125,1,0.0,6,#FF8C94,11,4
physical,0.0125,1,0.0,1,#FF6B6B,15,4
implementation,0.0125,1,0.0,0,#7B68EE,13,4
transition,0.0125,1,0.0,3,#FFD93D,11,4
policy,0.0125,1,0.0,1,#FF6B6B,18,4
abuse,0.0125,1,0.0,1,#FF6B6B,13,4
teachers,0.0125,1,0.0,2,#4ECDC4,18,4
prevention,0.0125,1,0.0,3,#FFD93D,11,4
