node,degree_centrality,degree_count,betweenness_centrality,community,community_color,freq,weighted_degree
education,0.5942,41,0.5243,0,#7B68EE,249,366
students,0.4058,28,0.2183,4,#45B7D1,189,315
school,0.1449,10,0.1108,2,#4ECDC4,98,94
social,0.1449,10,0.0849,5,#96CEB4,83,76
learning,0.2174,15,0.0814,5,#96CEB4,110,139
environment,0.0725,5,0.0725,5,#96CEB4,43,38
educational,0.1594,11,0.063,0,#7B68EE,101,87
health,0.1739,12,0.0497,6,#FF8C94,105,118
knowledge,0.0725,5,0.0311,5,#96CEB4,63,36
academic,0.0725,5,0.0286,4,#45B7D1,73,47
self,0.058,4,0.0281,5,#96CEB4,42,25
training,0.0435,3,0.0281,0,#7B68EE,64,23
teachers,0.0725,5,0.0281,2,#4ECDC4,50,41
adolescents,0.058,4,0.0281,2,#4ECDC4,36,30
infractions,0.058,4,0.0237,2,#4ECDC4,23,34
student,0.058,4,0.0229,4,#45B7D1,64,30
system,0.058,4,0.0213,0,#7B68EE,28,28
primary,0.058,4,0.0207,6,#FF8C94,25,26
practices,0.029,2,0.0201,0,#7B68EE,36,11
experiences,0.058,4,0.0178,4,#45B7D1,33,34
personal,0.0725,5,0.0153,5,#96CEB4,27,40
work,0.058,4,0.0111,0,#7B68EE,60,27
develop,0.058,4,0.0096,4,#45B7D1,29,28
undergraduate,0.1014,7,0.0094,1,#FF6B6B,46,85
achievement,0.029,2,0.0072,4,#45B7D1,25,16
leadership,0.1159,8,0.0058,4,#45B7D1,111,142
high,0.029,2,0.0054,2,#4ECDC4,30,15
skills,0.0435,3,0.0045,4,#45B7D1,44,19
science,0.058,4,0.0043,1,#FF6B6B,30,31
development,0.1014,7,0.0043,4,#45B7D1,94,96
teaching,0.0435,3,0.0019,5,#96CEB4,41,21
programs,0.058,4,0.0015,6,#FF8C94,44,36
medical,0.058,4,0.0013,0,#7B68EE,41,39
identity,0.0435,3,0.0,4,#45B7D1,32,53
edu,0.058,4,0.0,1,#FF6B6B,26,60
catalog,0.058,4,0.0,1,#FF6B6B,26,59
foreign,0.0435,3,0.0,5,#96CEB4,25,34
mental,0.029,2,0.0,6,#FF8C94,22,26
pre,0.0145,1,0.0,2,#4ECDC4,22,9
public,0.029,2,0.0,6,#FF8C94,28,19
regarding,0.029,2,0.0,5,#96CEB4,28,18
schools,0.0145,1,0.0,6,#FF8C94,34,11
institutions,0.029,2,0.0,0,#7B68EE,26,17
stage,0.029,2,0.0,4,#45B7D1,28,32
digital,0.029,2,0.0,0,#7B68EE,47,20
care,0.0435,3,0.0,6,#FF8C94,39,27
unaccompanied,0.058,4,0.0,5,#96CEB4,51,43
online,0.0145,1,0.0,0,#7B68EE,32,8
attention,0.029,2,0.0,0,#7B68EE,26,14
media,0.0145,1,0.0,5,#96CEB4,25,7
policies,0.0145,1,0.0,2,#4ECDC4,23,7
subjects,0.029,2,0.0,2,#4ECDC4,22,13
legal,0.0145,1,0.0,0,#7B68EE,23,9
american,0.0435,3,0.0,2,#4ECDC4,24,25
performance,0.0145,1,0.0,3,#FFD93D,25,7
understanding,0.029,2,0.0,0,#7B68EE,24,13
place,0.0145,1,0.0,0,#7B68EE,22,7
state,0.0145,1,0.0,0,#7B68EE,23,7
test,0.0145,1,0.0,3,#FFD93D,29,7
while,0.0145,1,0.0,4,#45B7D1,31,6
community,0.0145,1,0.0,0,#7B68EE,24,6
universities,0.0145,1,0.0,4,#45B7D1,42,6
support,0.0145,1,0.0,5,#96CEB4,30,6
cultural,0.0145,1,0.0,5,#96CEB4,24,6
rights,0.0145,1,0.0,0,#7B68EE,34,6
become,0.0145,1,0.0,0,#7B68EE,25,5
evidence,0.0145,1,0.0,0,#7B68EE,26,5
teacher,0.0145,1,0.0,0,#7B68EE,24,5
courses,0.0145,1,0.0,0,#7B68EE,27,5
behavior,0.0145,1,0.0,2,#4ECDC4,29,5
