node,degree_centrality,degree_count,betweenness_centrality,community,community_color,freq,weighted_degree
pregnancy,0.3871,24,0.2303,2,#4ECDC4,193,330
school,0.5161,32,0.2281,0,#7B68EE,259,517
education,0.4355,27,0.2087,3,#FFD93D,220,379
teenagers,0.2581,16,0.1898,4,#45B7D1,188,170
mothers,0.2581,16,0.1545,0,#7B68EE,122,190
schools,0.1935,12,0.0605,0,#7B68EE,80,132
parents,0.129,8,0.06,4,#45B7D1,86,83
health,0.1774,11,0.0492,3,#FFD93D,101,143
pregnant,0.0484,3,0.0449,4,#45B7D1,25,24
parenting,0.0484,3,0.0365,2,#4ECDC4,62,29
knowledge,0.0968,6,0.0282,2,#4ECDC4,72,56
girls,0.1129,7,0.028,2,#4ECDC4,66,86
interventions,0.0323,2,0.0264,2,#4ECDC4,32,15
social,0.1774,11,0.0258,4,#45B7D1,100,148
high,0.1129,7,0.0219,0,#7B68EE,82,111
self,0.0968,6,0.0197,4,#45B7D1,72,54
teachers,0.129,8,0.0196,0,#7B68EE,62,83
family,0.0484,3,0.0127,3,#FFD93D,41,30
intervention,0.0323,2,0.0122,3,#FFD93D,48,16
while,0.0323,2,0.0122,3,#FFD93D,38,16
information,0.0645,4,0.0111,3,#FFD93D,36,36
support,0.129,8,0.0095,0,#7B68EE,68,86
south,0.0806,5,0.0082,0,#7B68EE,30,52
secondary,0.0806,5,0.0082,0,#7B68EE,49,63
policy,0.0645,4,0.0066,2,#4ECDC4,49,45
revealed,0.0323,2,0.0049,0,#7B68EE,22,16
schooling,0.0323,2,0.0049,0,#7B68EE,32,16
sexual,0.0806,5,0.004,3,#FFD93D,62,77
academic,0.0484,3,0.0005,4,#45B7D1,34,35
students,0.129,8,0.0005,0,#7B68EE,119,116
media,0.0484,3,0.0,4,#45B7D1,58,48
teen,0.0161,1,0.0,0,#7B68EE,38,12
african,0.0323,2,0.0,0,#7B68EE,19,21
sexuality,0.0323,2,0.0,3,#FFD93D,23,21
control,0.0323,2,0.0,4,#45B7D1,35,20
implementation,0.0323,2,0.0,2,#4ECDC4,26,22
educational,0.0161,1,0.0,2,#4ECDC4,50,14
performance,0.0323,2,0.0,4,#45B7D1,23,27
out,0.0645,4,0.0,2,#4ECDC4,56,55
sex,0.0323,2,0.0,3,#FFD93D,47,32
character,0.0161,1,0.0,3,#FFD93D,23,11
prevention,0.0161,1,0.0,2,#4ECDC4,19,11
style,0.0161,1,0.0,2,#4ECDC4,23,12
activities,0.0323,2,0.0,4,#45B7D1,35,19
early,0.0161,1,0.0,2,#4ECDC4,23,10
towards,0.0323,2,0.0,2,#4ECDC4,21,20
learners,0.0323,2,0.0,0,#7B68EE,39,20
internet,0.0161,1,0.0,4,#45B7D1,29,9
parental,0.0161,1,0.0,3,#FFD93D,25,9
activity,0.0161,1,0.0,4,#45B7D1,23,9
behavior,0.0161,1,0.0,4,#45B7D1,34,9
experiences,0.0161,1,0.0,0,#7B68EE,23,8
interviews,0.0161,1,0.0,0,#7B68EE,26,8
values,0.0161,1,0.0,3,#FFD93D,20,8
adolescents,0.0161,1,0.0,3,#FFD93D,45,8
communication,0.0323,2,0.0,4,#45B7D1,27,16
aged,0.0161,1,0.0,4,#45B7D1,20,8
sampling,0.0161,1,0.0,1,#FF6B6B,31,8
selected,0.0161,1,0.0,1,#FF6B6B,21,8
student,0.0161,1,0.0,0,#7B68EE,27,8
public,0.0161,1,0.0,0,#7B68EE,20,7
qualitative,0.0161,1,0.0,0,#7B68EE,34,7
peer,0.0161,1,0.0,3,#FFD93D,28,7
