node,degree_centrality,degree_count,betweenness_centrality,community,community_color,freq,weighted_degree
health,0.4605,35,0.3816,1,#FF6B6B,252,521
school,0.3421,26,0.2541,4,#45B7D1,215,332
social,0.2895,22,0.1854,2,#4ECDC4,183,313
education,0.2368,18,0.1319,0,#7B68EE,219,273
development,0.1842,14,0.0949,2,#4ECDC4,142,179
transition,0.1184,9,0.0916,0,#7B68EE,73,105
community,0.0526,4,0.0673,2,#4ECDC4,66,36
aged,0.0263,2,0.0589,4,#45B7D1,41,17
support,0.1053,8,0.0528,2,#4ECDC4,113,92
approaches,0.0263,2,0.0498,3,#FFD93D,36,19
training,0.0658,5,0.0498,0,#7B68EE,90,76
self,0.0395,3,0.0467,4,#45B7D1,75,28
adult,0.1184,9,0.0465,6,#FF8C94,178,123
family,0.0526,4,0.0451,2,#4ECDC4,44,35
skills,0.0789,6,0.0367,2,#4ECDC4,64,69
engagement,0.0263,2,0.033,0,#7B68EE,55,16
physical,0.1053,8,0.0325,1,#FF6B6B,109,139
participation,0.0395,3,0.0286,2,#4ECDC4,82,29
participatory,0.0263,2,0.0253,3,#FFD93D,51,26
strength,0.0263,2,0.0253,0,#7B68EE,34,25
learning,0.0263,2,0.0253,2,#4ECDC4,63,19
educational,0.1053,8,0.0177,4,#45B7D1,123,106
employment,0.0526,4,0.0168,0,#7B68EE,43,48
evidence,0.0658,5,0.0144,1,#FF6B6B,74,54
interventions,0.0526,4,0.0093,1,#FF6B6B,73,44
sport,0.0658,5,0.009,2,#4ECDC4,55,51
life,0.0789,6,0.0089,2,#4ECDC4,74,80
activity,0.0658,5,0.0073,1,#FF6B6B,80,100
adults,0.0526,4,0.007,6,#FF8C94,106,51
benefits,0.0395,3,0.0067,1,#FF6B6B,35,31
schools,0.0395,3,0.0063,0,#7B68EE,68,32
sexual,0.0526,4,0.0047,0,#7B68EE,65,60
care,0.0263,2,0.0025,6,#FF8C94,63,20
recommendations,0.0263,2,0.0011,1,#FF6B6B,34,18
interviews,0.0263,2,0.0004,5,#96CEB4,47,19
high,0.0263,2,0.0,4,#45B7D1,52,38
mental,0.0263,2,0.0,1,#FF6B6B,52,41
sex,0.0395,3,0.0,0,#7B68EE,51,44
media,0.0263,2,0.0,2,#4ECDC4,39,33
action,0.0132,1,0.0,3,#FFD93D,33,15
promotion,0.0132,1,0.0,1,#FF6B6B,29,17
programs,0.0263,2,0.0,2,#4ECDC4,81,31
sexuality,0.0132,1,0.0,0,#7B68EE,29,22
interview,0.0263,2,0.0,0,#7B68EE,42,36
students,0.0263,2,0.0,6,#FF8C94,76,35
digital,0.0132,1,0.0,1,#FF6B6B,32,12
settings,0.0132,1,0.0,4,#45B7D1,37,12
wellbeing,0.0132,1,0.0,1,#FF6B6B,34,13
academic,0.0132,1,0.0,2,#4ECDC4,46,12
sports,0.0132,1,0.0,2,#4ECDC4,38,13
secondary,0.0132,1,0.0,4,#45B7D1,34,14
challenges,0.0132,1,0.0,1,#FF6B6B,49,13
emotional,0.0132,1,0.0,2,#4ECDC4,36,13
services,0.0263,2,0.0,6,#FF8C94,56,28
experiences,0.0526,4,0.0,4,#45B7D1,78,48
gender,0.0132,1,0.0,4,#45B7D1,36,11
pyd,0.0263,2,0.0,2,#4ECDC4,36,22
power,0.0132,1,0.0,0,#7B68EE,35,11
while,0.0132,1,0.0,4,#45B7D1,42,11
knowledge,0.0132,1,0.0,1,#FF6B6B,56,12
intervention,0.0132,1,0.0,1,#FF6B6B,49,11
disabilities,0.0132,1,0.0,2,#4ECDC4,32,10
lgbtq,0.0132,1,0.0,4,#45B7D1,32,10
quality,0.0263,2,0.0,2,#4ECDC4,39,18
focus,0.0132,1,0.0,5,#96CEB4,50,10
systematic,0.0132,1,0.0,1,#FF6B6B,31,9
experience,0.0132,1,0.0,4,#45B7D1,44,9
parents,0.0132,1,0.0,6,#FF8C94,41,9
teachers,0.0132,1,0.0,4,#45B7D1,39,10
ways,0.0132,1,0.0,2,#4ECDC4,32,9
adulthood,0.0263,2,0.0,4,#45B7D1,33,18
qualitative,0.0132,1,0.0,5,#96CEB4,39,9
understanding,0.0132,1,0.0,1,#FF6B6B,36,9
survey,0.0132,1,0.0,1,#FF6B6B,36,8
systems,0.0132,1,0.0,2,#4ECDC4,29,8
change,0.0132,1,0.0,2,#4ECDC4,50,8
identified,0.0132,1,0.0,2,#4ECDC4,61,8
