node,degree_centrality,degree_count,betweenness_centrality,community,community_color,freq,weighted_degree
adolescents,0.5507,38,0.4461,4,#45B7D1,165,370
health,0.3623,25,0.2107,0,#7B68EE,120,255
legal,0.2899,20,0.1369,1,#FF6B6B,117,189
sexual,0.1594,11,0.0988,0,#7B68EE,81,95
police,0.1304,9,0.0739,1,#FF6B6B,38,66
care,0.1739,12,0.0563,0,#7B68EE,59,105
treatment,0.058,4,0.0542,0,#7B68EE,30,27
non,0.058,4,0.0521,6,#FF8C94,28,28
criminal,0.1014,7,0.0481,2,#4ECDC4,45,58
consent,0.2029,14,0.0479,5,#96CEB4,70,149
justice,0.1014,7,0.0461,2,#4ECDC4,37,61
protection,0.029,2,0.0392,0,#7B68EE,17,12
access,0.087,6,0.0389,6,#FF8C94,37,43
law,0.0725,5,0.0382,1,#FF6B6B,65,41
development,0.029,2,0.0311,1,#FF6B6B,29,12
offenders,0.058,4,0.0289,2,#4ECDC4,47,30
parental,0.0725,5,0.0281,5,#96CEB4,32,44
contraception,0.058,4,0.0269,6,#FF8C94,23,32
court,0.0435,3,0.0252,2,#4ECDC4,26,18
offending,0.029,2,0.0185,2,#4ECDC4,29,16
violence,0.0435,3,0.0183,2,#4ECDC4,40,22
parents,0.029,2,0.0139,4,#45B7D1,31,15
abortion,0.0435,3,0.0112,4,#45B7D1,25,27
medical,0.0725,5,0.0109,6,#FF8C94,33,34
services,0.058,4,0.007,0,#7B68EE,31,30
marijuana,0.087,6,0.0064,6,#FF8C94,48,55
rights,0.1014,7,0.006,4,#45B7D1,63,70
laws,0.1159,8,0.0053,6,#FF8C94,47,80
state,0.1014,7,0.0047,6,#FF8C94,49,68
privacy,0.029,2,0.0041,0,#7B68EE,15,13
confidential,0.029,2,0.0025,0,#7B68EE,19,15
mml,0.058,4,0.0011,6,#FF8C94,43,40
policies,0.058,4,0.0009,6,#FF8C94,36,33
risk,0.029,2,0.0006,2,#4ECDC4,69,21
serious,0.029,2,0.0004,2,#4ECDC4,26,14
information,0.058,4,0.0,0,#7B68EE,46,38
mental,0.0435,3,0.0,0,#7B68EE,20,30
human,0.029,2,0.0,4,#45B7D1,24,22
behavior,0.0145,1,0.0,1,#FF6B6B,32,8
public,0.0145,1,0.0,0,#7B68EE,21,9
confidentiality,0.0145,1,0.0,0,#7B68EE,23,9
social,0.058,4,0.0,4,#45B7D1,47,31
policy,0.029,2,0.0,4,#45B7D1,39,19
assault,0.0145,1,0.0,0,#7B68EE,18,13
system,0.058,4,0.0,2,#4ECDC4,28,36
legitimacy,0.029,2,0.0,1,#FF6B6B,16,23
ethical,0.0435,3,0.0,1,#FF6B6B,28,29
adulthood,0.0145,1,0.0,3,#FFD93D,31,8
adults,0.0145,1,0.0,4,#45B7D1,17,8
informed,0.029,2,0.0,5,#96CEB4,19,15
recommendations,0.029,2,0.0,6,#FF8C94,20,15
white,0.0145,1,0.0,6,#FF8C94,17,8
self,0.029,2,0.0,5,#96CEB4,39,15
involvement,0.0145,1,0.0,5,#96CEB4,22,8
right,0.0145,1,0.0,4,#45B7D1,17,7
abuse,0.0145,1,0.0,0,#7B68EE,16,7
early,0.0145,1,0.0,3,#FFD93D,33,8
act,0.0145,1,0.0,0,#7B68EE,23,7
developmental,0.0145,1,0.0,4,#45B7D1,24,7
pregnancy,0.0145,1,0.0,4,#45B7D1,26,7
decision,0.0145,1,0.0,4,#45B7D1,23,7
aged,0.0145,1,0.0,4,#45B7D1,14,7
involved,0.0145,1,0.0,2,#4ECDC4,16,6
sex,0.0145,1,0.0,4,#45B7D1,20,7
knowledge,0.0145,1,0.0,4,#45B7D1,16,6
examine,0.0145,1,0.0,1,#FF6B6B,18,6
parent,0.0145,1,0.0,5,#96CEB4,16,6
exposure,0.029,2,0.0,1,#FF6B6B,17,12
vaccination,0.0145,1,0.0,4,#45B7D1,16,6
marriage,0.0145,1,0.0,1,#FF6B6B,16,6
