node,degree_centrality,degree_count,betweenness_centrality,community,community_color,freq,weighted_degree
health,0.2794,19,0.2769,2,#4ECDC4,130,225
rights,0.2647,18,0.2188,4,#45B7D1,239,243
abuse,0.3235,22,0.2064,0,#7B68EE,219,323
sexual,0.25,17,0.2062,0,#7B68EE,126,247
violence,0.0882,6,0.102,5,#96CEB4,67,55
criminal,0.1765,12,0.0568,3,#FFD93D,82,123
experiences,0.1471,10,0.0563,3,#FFD93D,60,119
social,0.1029,7,0.056,6,#FF8C94,89,66
csa,0.0441,3,0.0553,0,#7B68EE,55,37
protection,0.1176,8,0.0553,6,#FF8C94,116,87
policy,0.0882,6,0.0547,6,#FF8C94,61,45
human,0.0588,4,0.0476,4,#45B7D1,66,66
justice,0.1618,11,0.0426,3,#FFD93D,73,157
system,0.1618,11,0.0412,3,#FFD93D,79,126
legal,0.1029,7,0.0378,6,#FF8C94,109,65
care,0.0735,5,0.0342,2,#4ECDC4,78,43
early,0.0735,5,0.034,4,#45B7D1,59,37
family,0.0294,2,0.0333,5,#96CEB4,74,13
offenders,0.0735,5,0.033,0,#7B68EE,54,44
aces,0.1618,11,0.0307,3,#FFD93D,83,156
risk,0.0882,6,0.0303,0,#7B68EE,90,59
convention,0.0588,4,0.0299,4,#45B7D1,53,68
decision,0.0294,2,0.0281,6,#FF8C94,35,16
prevention,0.0294,2,0.0281,0,#7B68EE,35,17
exposure,0.0294,2,0.0187,5,#96CEB4,30,16
law,0.0588,4,0.0178,6,#FF8C94,64,36
problems,0.0441,3,0.0163,2,#4ECDC4,40,28
involvement,0.1176,8,0.0135,3,#FFD93D,29,78
ace,0.0441,3,0.0121,3,#FFD93D,28,24
adverse,0.1029,7,0.0095,3,#FFD93D,41,92
right,0.0441,3,0.0081,4,#45B7D1,62,30
exploitation,0.0588,4,0.0073,0,#7B68EE,34,46
welfare,0.0294,2,0.0044,3,#FFD93D,42,15
online,0.0294,2,0.0044,0,#7B68EE,29,14
mental,0.0588,4,0.004,2,#4ECDC4,38,56
development,0.0441,3,0.0018,4,#45B7D1,71,28
sex,0.0294,2,0.0018,0,#7B68EE,30,18
laws,0.0294,2,0.0004,1,#FF6B6B,54,17
efforts,0.0147,1,0.0,0,#7B68EE,31,10
trafficking,0.0588,4,0.0,0,#7B68EE,36,37
disclosure,0.0294,2,0.0,0,#7B68EE,26,20
domestic,0.0147,1,0.0,5,#96CEB4,29,16
crc,0.0294,2,0.0,4,#45B7D1,31,31
involved,0.0588,4,0.0,3,#FFD93D,37,48
participation,0.0441,3,0.0,6,#FF8C94,57,33
physical,0.0441,3,0.0,0,#7B68EE,39,41
cases,0.0294,2,0.0,0,#7B68EE,79,48
public,0.0147,1,0.0,2,#4ECDC4,48,27
evidence,0.0294,2,0.0,0,#7B68EE,63,22
under,0.0147,1,0.0,4,#45B7D1,37,9
education,0.0294,2,0.0,4,#45B7D1,41,18
marriage,0.0147,1,0.0,1,#FF6B6B,41,10
offending,0.0294,2,0.0,0,#7B68EE,51,17
medical,0.0147,1,0.0,6,#FF8C94,41,8
support,0.0147,1,0.0,0,#7B68EE,43,8
framework,0.0147,1,0.0,4,#45B7D1,33,9
self,0.0147,1,0.0,0,#7B68EE,42,8
out,0.0294,2,0.0,2,#4ECDC4,26,14
policies,0.0147,1,0.0,1,#FF6B6B,40,7
victims,0.0147,1,0.0,0,#7B68EE,35,7
intervention,0.0147,1,0.0,4,#45B7D1,27,8
adulthood,0.0147,1,0.0,3,#FFD93D,28,7
high,0.0147,1,0.0,0,#7B68EE,39,7
history,0.0147,1,0.0,0,#7B68EE,26,7
identify,0.0147,1,0.0,4,#45B7D1,25,7
parental,0.0147,1,0.0,6,#FF8C94,42,7
population,0.0147,1,0.0,3,#FFD93D,32,7
trauma,0.0147,1,0.0,3,#FFD93D,43,7
understanding,0.0147,1,0.0,6,#FF8C94,36,6
