node,degree_centrality,degree_count,betweenness_centrality,community,community_color,freq,weighted_degree
justice,0.5068,37,0.3811,6,#FF8C94,89,238
system,0.2603,19,0.2918,6,#FF8C94,40,108
offenders,0.1918,14,0.1692,0,#7B68EE,35,71
juveniles,0.1781,13,0.1318,5,#96CEB4,26,65
delinquency,0.0959,7,0.1179,0,#7B68EE,27,32
problems,0.0822,6,0.0944,5,#96CEB4,23,36
family,0.0685,5,0.0757,4,#45B7D1,19,28
criminal,0.0685,5,0.0742,7,#A8D8EA,14,20
identify,0.0411,3,0.0529,6,#FF8C94,9,11
trauma,0.1233,9,0.0512,6,#FF8C94,19,41
treatment,0.0548,4,0.0512,3,#FFD93D,17,15
court,0.0411,3,0.0506,8,#DDA0DD,18,12
crime,0.0411,3,0.0327,0,#7B68EE,14,9
contact,0.0411,3,0.0278,5,#96CEB4,8,13
involvement,0.0959,7,0.026,5,#96CEB4,17,41
incarceration,0.0411,3,0.0255,7,#A8D8EA,6,12
girls,0.0274,2,0.0255,1,#FF6B6B,8,8
legal,0.0274,2,0.0254,6,#FF8C94,10,6
intervention,0.0411,3,0.0228,0,#7B68EE,8,11
risk,0.0411,3,0.0217,0,#7B68EE,23,15
mental,0.1644,12,0.0207,5,#96CEB4,26,84
recidivism,0.0959,7,0.0168,0,#7B68EE,23,37
involved,0.0548,4,0.0168,5,#96CEB4,9,18
individual,0.0274,2,0.0126,4,#45B7D1,8,9
chronic,0.0411,3,0.006,0,#7B68EE,5,11
parental,0.0274,2,0.0046,4,#45B7D1,11,11
services,0.0822,6,0.0046,5,#96CEB4,12,32
violent,0.0822,6,0.0044,0,#7B68EE,16,29
care,0.0548,4,0.0031,5,#96CEB4,10,19
male,0.0411,3,0.0023,0,#7B68EE,6,14
core,0.0548,4,0.002,6,#FF8C94,8,15
practice,0.0411,3,0.002,6,#FF8C94,11,11
health,0.1644,12,0.0019,5,#96CEB4,36,99
serious,0.0548,4,0.0015,0,#7B68EE,14,19
policies,0.0959,7,0.0014,6,#FF8C94,8,29
practices,0.0685,5,0.0013,6,#FF8C94,7,18
informed,0.0822,6,0.0012,6,#FF8C94,7,28
abuse,0.0548,4,0.0008,0,#7B68EE,12,19
jjs,0.0411,3,0.0008,5,#96CEB4,6,13
adjudication,0.0274,2,0.0004,2,#4ECDC4,6,6
school,0.0411,3,0.0,4,#45B7D1,18,21
models,0.0137,1,0.0,6,#FF8C94,7,6
program,0.0137,1,0.0,0,#7B68EE,8,4
complex,0.0274,2,0.0,6,#FF8C94,8,8
prior,0.0137,1,0.0,8,#DDA0DD,8,5
interventions,0.0274,2,0.0,6,#FF8C94,11,8
systems,0.0137,1,0.0,6,#FF8C94,7,5
prevention,0.0274,2,0.0,0,#7B68EE,5,8
disorders,0.0685,5,0.0,5,#96CEB4,10,26
dropout,0.0274,2,0.0,4,#45B7D1,7,11
behavioral,0.0274,2,0.0,5,#96CEB4,10,11
decision,0.0274,2,0.0,6,#FF8C94,9,7
referred,0.0137,1,0.0,6,#FF8C94,6,4
case,0.0137,1,0.0,8,#DDA0DD,6,4
programs,0.0274,2,0.0,0,#7B68EE,6,7
delinquent,0.0137,1,0.0,9,#98D8C8,6,4
youths,0.0274,2,0.0,6,#FF8C94,5,7
control,0.0137,1,0.0,9,#98D8C8,6,4
social,0.0137,1,0.0,5,#96CEB4,10,4
act,0.0137,1,0.0,5,#96CEB4,7,4
law,0.0137,1,0.0,5,#96CEB4,6,4
adolescents,0.0137,1,0.0,6,#FF8C94,7,4
known,0.0137,1,0.0,6,#FF8C94,6,4
history,0.0274,2,0.0,7,#A8D8EA,8,8
assessment,0.0137,1,0.0,3,#FFD93D,6,4
crimes,0.0137,1,0.0,5,#96CEB4,8,4
strategy,0.0274,2,0.0,0,#7B68EE,6,6
evidence,0.0137,1,0.0,1,#FF6B6B,7,4
adjudications,0.0137,1,0.0,7,#A8D8EA,6,4
behavior,0.0137,1,0.0,0,#7B68EE,6,3
probation,0.0137,1,0.0,5,#96CEB4,8,3
systematic,0.0137,1,0.0,6,#FF8C94,6,3
detention,0.0137,1,0.0,2,#4ECDC4,7,3
examine,0.0137,1,0.0,2,#4ECDC4,7,3
