node,degree_centrality,degree_count,betweenness_centrality,community,community_color,freq,weighted_degree
legal,0.2917,21,0.2407,3,#FFD93D,113,127
law,0.1806,13,0.2339,3,#FFD93D,79,74
laws,0.2083,15,0.1839,2,#4ECDC4,55,90
sex,0.1389,10,0.1231,0,#7B68EE,41,79
justice,0.125,9,0.108,1,#FF6B6B,42,56
consent,0.1944,14,0.1011,2,#4ECDC4,43,83
health,0.1528,11,0.0739,2,#4ECDC4,56,62
dmst,0.125,9,0.0565,0,#7B68EE,29,50
protection,0.0694,5,0.0553,4,#45B7D1,42,28
care,0.125,9,0.0531,2,#4ECDC4,41,52
offenders,0.0694,5,0.0458,7,#A8D8EA,31,32
criminal,0.0833,6,0.0435,1,#FF6B6B,46,41
trafficking,0.1389,10,0.0432,0,#7B68EE,51,85
human,0.0417,3,0.0428,4,#45B7D1,14,16
risk,0.0833,6,0.0424,0,#7B68EE,37,32
policies,0.0278,2,0.0383,3,#FFD93D,17,8
information,0.0833,6,0.0379,4,#45B7D1,42,28
courts,0.0278,2,0.0376,3,#FFD93D,13,8
rights,0.0833,6,0.0367,4,#45B7D1,35,35
treatment,0.1111,8,0.0351,2,#4ECDC4,32,46
sentencing,0.0694,5,0.0298,7,#A8D8EA,16,35
access,0.0556,4,0.0294,4,#45B7D1,25,16
exploitation,0.0556,4,0.0286,0,#7B68EE,16,22
domestic,0.0694,5,0.0264,0,#7B68EE,20,42
ethical,0.0278,2,0.0258,3,#FFD93D,14,12
decisions,0.0417,3,0.0258,3,#FFD93D,19,14
medical,0.0972,7,0.0251,3,#FFD93D,28,36
patients,0.0417,3,0.0216,3,#FFD93D,25,15
cases,0.0278,2,0.0216,1,#FF6B6B,19,9
victims,0.0833,6,0.0207,0,#7B68EE,34,37
decision,0.0556,4,0.0134,2,#4ECDC4,35,19
challenges,0.0278,2,0.0121,2,#4ECDC4,21,9
regarding,0.0417,3,0.0117,2,#4ECDC4,23,12
act,0.0278,2,0.0113,1,#FF6B6B,23,9
hiv,0.0833,6,0.01,2,#4ECDC4,17,35
sexual,0.0833,6,0.007,0,#7B68EE,39,37
patient,0.0417,3,0.0049,4,#45B7D1,17,12
state,0.0556,4,0.0045,3,#FFD93D,38,24
involvement,0.0417,3,0.0037,2,#4ECDC4,21,23
prevention,0.0278,2,0.0014,2,#4ECDC4,17,8
testing,0.0278,2,0.0014,2,#4ECDC4,16,8
under,0.0278,2,0.0004,4,#45B7D1,29,11
school,0.0278,2,0.0004,6,#FF8C94,15,8
out,0.0417,3,0.0,3,#FFD93D,17,14
abortions,0.0139,1,0.0,2,#4ECDC4,14,8
judges,0.0417,3,0.0,7,#A8D8EA,15,18
unaccompanied,0.0278,2,0.0,3,#FFD93D,24,13
practice,0.0417,3,0.0,3,#FFD93D,24,16
court,0.0139,1,0.0,3,#FFD93D,24,7
jurisprudence,0.0139,1,0.0,3,#FFD93D,22,9
system,0.0278,2,0.0,1,#FF6B6B,20,15
services,0.0694,5,0.0,2,#4ECDC4,21,33
parental,0.0278,2,0.0,2,#4ECDC4,17,18
drug,0.0417,3,0.0,7,#A8D8EA,19,22
abuse,0.0278,2,0.0,0,#7B68EE,15,13
public,0.0139,1,0.0,2,#4ECDC4,19,7
judicial,0.0139,1,0.0,7,#A8D8EA,21,6
social,0.0139,1,0.0,5,#96CEB4,25,5
media,0.0139,1,0.0,5,#96CEB4,16,5
control,0.0139,1,0.0,2,#4ECDC4,14,5
case,0.0139,1,0.0,1,#FF6B6B,21,5
forensic,0.0139,1,0.0,3,#FFD93D,19,5
understanding,0.0278,2,0.0,3,#FFD93D,22,9
life,0.0139,1,0.0,3,#FFD93D,14,5
involved,0.0278,2,0.0,1,#FF6B6B,27,9
gender,0.0139,1,0.0,2,#4ECDC4,18,5
guidelines,0.0139,1,0.0,3,#FFD93D,17,5
violence,0.0139,1,0.0,0,#7B68EE,19,4
parent,0.0139,1,0.0,2,#4ECDC4,14,4
adolescents,0.0139,1,0.0,6,#FF8C94,19,4
interviews,0.0139,1,0.0,1,#FF6B6B,13,4
evidence,0.0139,1,0.0,2,#4ECDC4,16,4
disciplinary,0.0139,1,0.0,6,#FF8C94,15,4
