node,degree_centrality,degree_count,betweenness_centrality,community,community_color,freq,weighted_degree
sexual,0.3803,27,0.2879,0,#7B68EE,86,170
social,0.2958,21,0.2779,3,#FFD93D,62,118
education,0.3099,22,0.2288,5,#96CEB4,52,123
law,0.1831,13,0.1603,1,#FF6B6B,72,75
legal,0.2817,20,0.1393,2,#4ECDC4,83,123
parents,0.1549,11,0.1215,2,#4ECDC4,46,57
teenagers,0.1972,14,0.0918,4,#45B7D1,69,88
criminal,0.0563,4,0.0768,4,#45B7D1,30,17
workers,0.0704,5,0.0559,0,#7B68EE,21,32
cultural,0.0282,2,0.0555,2,#4ECDC4,14,12
case,0.0563,4,0.0406,2,#4ECDC4,46,17
lack,0.0845,6,0.0404,3,#FFD93D,17,25
behavior,0.0423,3,0.0382,4,#45B7D1,28,13
marriage,0.0563,4,0.0301,6,#FF8C94,25,21
consent,0.0423,3,0.0282,0,#7B68EE,14,13
public,0.0282,2,0.0282,4,#45B7D1,24,8
socio,0.0282,2,0.0282,2,#4ECDC4,17,11
human,0.0423,3,0.0207,2,#4ECDC4,17,19
implementation,0.0282,2,0.02,1,#FF6B6B,14,8
under,0.0563,4,0.0199,4,#45B7D1,25,20
adolescents,0.0845,6,0.0178,2,#4ECDC4,35,29
state,0.0423,3,0.0165,2,#4ECDC4,27,12
family,0.1127,8,0.0155,3,#FFD93D,35,40
educational,0.0704,5,0.0152,5,#96CEB4,26,26
development,0.0563,4,0.0151,3,#FFD93D,22,17
pregnancy,0.1127,8,0.0129,5,#96CEB4,33,41
girls,0.0423,3,0.0114,3,#FFD93D,26,17
system,0.0282,2,0.0113,4,#45B7D1,17,8
school,0.0986,7,0.0098,5,#96CEB4,38,39
act,0.0423,3,0.0083,2,#4ECDC4,22,14
schools,0.0563,4,0.0072,5,#96CEB4,20,22
health,0.0423,3,0.0044,5,#96CEB4,22,16
perpetrators,0.0423,3,0.0042,0,#7B68EE,16,17
rights,0.1268,9,0.0036,2,#4ECDC4,50,59
out,0.0423,3,0.003,1,#FF6B6B,36,24
laws,0.0282,2,0.0028,2,#4ECDC4,26,12
justice,0.0282,2,0.0016,4,#45B7D1,18,8
emotional,0.0423,3,0.0016,3,#FFD93D,25,13
pregnant,0.0563,4,0.0008,5,#96CEB4,25,25
harassment,0.0282,2,0.0,0,#7B68EE,24,31
enforcement,0.0141,1,0.0,1,#FF6B6B,17,11
carried,0.0282,2,0.0,1,#FF6B6B,15,19
psychological,0.0282,2,0.0,3,#FFD93D,22,10
crimes,0.0141,1,0.0,4,#45B7D1,24,7
protection,0.0282,2,0.0,2,#4ECDC4,21,11
early,0.0282,2,0.0,6,#FF8C94,21,14
violence,0.0282,2,0.0,0,#7B68EE,27,15
framework,0.0282,2,0.0,2,#4ECDC4,15,13
abuse,0.0141,1,0.0,0,#7B68EE,16,9
media,0.0141,1,0.0,3,#FFD93D,18,10
right,0.0141,1,0.0,5,#96CEB4,17,7
sex,0.0141,1,0.0,5,#96CEB4,15,7
problem,0.0423,3,0.0,5,#96CEB4,18,14
part,0.0141,1,0.0,0,#7B68EE,16,5
conflict,0.0141,1,0.0,1,#FF6B6B,17,6
prevention,0.0282,2,0.0,5,#96CEB4,17,9
city,0.0141,1,0.0,4,#45B7D1,20,4
society,0.0282,2,0.0,2,#4ECDC4,20,10
support,0.0282,2,0.0,4,#45B7D1,13,9
qualitative,0.0141,1,0.0,2,#4ECDC4,18,4
policy,0.0141,1,0.0,3,#FFD93D,16,4
regarding,0.0282,2,0.0,3,#FFD93D,13,8
only,0.0141,1,0.0,0,#7B68EE,19,4
victims,0.0141,1,0.0,0,#7B68EE,19,4
boys,0.0141,1,0.0,0,#7B68EE,18,4
knowledge,0.0141,1,0.0,0,#7B68EE,14,4
examines,0.0141,1,0.0,2,#4ECDC4,21,4
self,0.0141,1,0.0,0,#7B68EE,18,4
community,0.0141,1,0.0,6,#FF8C94,24,4
work,0.0141,1,0.0,0,#7B68EE,21,4
due,0.0141,1,0.0,2,#4ECDC4,17,4
especially,0.0141,1,0.0,4,#45B7D1,20,4
