node,degree_centrality,degree_count,betweenness_centrality,community,community_color,freq,weighted_degree
justice,0.5571,39,0.4052,0,#7B68EE,268,608
health,0.3143,22,0.1739,1,#FF6B6B,149,283
risk,0.2571,18,0.1571,2,#4ECDC4,147,198
system,0.2571,18,0.119,0,#7B68EE,142,312
criminal,0.1429,10,0.0822,0,#7B68EE,89,158
offending,0.0714,5,0.0806,2,#4ECDC4,62,38
involvement,0.1,7,0.0783,0,#7B68EE,49,78
intervention,0.0429,3,0.0658,0,#7B68EE,30,23
police,0.1714,12,0.0654,3,#FFD93D,110,148
treatment,0.0714,5,0.051,1,#FF6B6B,56,42
diversion,0.1143,8,0.0462,3,#FFD93D,42,89
adult,0.1429,10,0.04,2,#4ECDC4,114,124
legal,0.1,7,0.0373,3,#FFD93D,90,72
high,0.0429,3,0.033,2,#4ECDC4,40,27
substance,0.0714,5,0.0271,1,#FF6B6B,41,53
self,0.0286,2,0.0269,4,#45B7D1,49,19
adults,0.0714,5,0.0269,2,#4ECDC4,82,51
court,0.0714,5,0.017,1,#FF6B6B,51,37
care,0.0857,6,0.0155,0,#7B68EE,88,56
involved,0.1,7,0.0145,0,#7B68EE,64,97
mental,0.1143,8,0.013,1,#FF6B6B,75,134
sexual,0.0571,4,0.0095,2,#4ECDC4,65,57
welfare,0.0571,4,0.0095,0,#7B68EE,32,34
offenders,0.0857,6,0.0093,2,#4ECDC4,78,78
prior,0.0286,2,0.0041,2,#4ECDC4,27,16
trauma,0.0429,3,0.0025,1,#FF6B6B,30,28
evidence,0.0429,3,0.0023,2,#4ECDC4,54,27
recidivism,0.0286,2,0.0018,2,#4ECDC4,39,14
delinquent,0.0429,3,0.0014,3,#FFD93D,28,27
laws,0.0429,3,0.0008,5,#96CEB4,36,23
behavior,0.0571,4,0.0004,3,#FFD93D,31,39
systems,0.0286,2,0.0,0,#7B68EE,34,34
firearm,0.0286,2,0.0,5,#96CEB4,29,22
policy,0.0286,2,0.0,0,#7B68EE,68,27
services,0.0429,3,0.0,1,#FF6B6B,50,35
contact,0.0571,4,0.0,0,#7B68EE,51,58
abuse,0.0286,2,0.0,2,#4ECDC4,43,31
practice,0.0286,2,0.0,0,#7B68EE,49,33
assessment,0.0143,1,0.0,2,#4ECDC4,28,16
england,0.0143,1,0.0,0,#7B68EE,23,11
support,0.0286,2,0.0,0,#7B68EE,40,19
harm,0.0143,1,0.0,4,#45B7D1,30,12
problems,0.0286,2,0.0,1,#FF6B6B,23,23
processing,0.0429,3,0.0,3,#FFD93D,23,32
suicide,0.0286,2,0.0,5,#96CEB4,40,19
perceptions,0.0286,2,0.0,3,#FFD93D,29,20
low,0.0429,3,0.0,3,#FFD93D,23,28
while,0.0286,2,0.0,0,#7B68EE,41,16
adolescents,0.0286,2,0.0,3,#FFD93D,35,16
interventions,0.0143,1,0.0,0,#7B68EE,36,9
law,0.0143,1,0.0,0,#7B68EE,46,9
exposure,0.0143,1,0.0,0,#7B68EE,26,8
population,0.0286,2,0.0,1,#FF6B6B,31,15
protective,0.0143,1,0.0,2,#4ECDC4,23,10
public,0.0143,1,0.0,1,#FF6B6B,22,11
effective,0.0143,1,0.0,0,#7B68EE,23,8
australia,0.0143,1,0.0,0,#7B68EE,23,8
aged,0.0143,1,0.0,2,#4ECDC4,22,8
state,0.0143,1,0.0,5,#96CEB4,42,8
increase,0.0143,1,0.0,0,#7B68EE,25,7
history,0.0143,1,0.0,0,#7B68EE,30,7
social,0.0143,1,0.0,0,#7B68EE,42,7
crime,0.0143,1,0.0,0,#7B68EE,43,7
understanding,0.0143,1,0.0,0,#7B68EE,24,7
gender,0.0143,1,0.0,0,#7B68EE,44,7
detention,0.0143,1,0.0,0,#7B68EE,32,7
violence,0.0143,1,0.0,2,#4ECDC4,30,7
rights,0.0143,1,0.0,1,#FF6B6B,56,7
service,0.0143,1,0.0,1,#FF6B6B,36,7
status,0.0143,1,0.0,3,#FFD93D,22,7
identified,0.0143,1,0.0,1,#FF6B6B,46,7
