node,degree_centrality,degree_count,betweenness_centrality,community,community_color,freq,weighted_degree
adolescents,0.4706,32,0.3716,2,#4ECDC4,255,467
social,0.2794,19,0.1626,8,#DDA0DD,164,256
development,0.1765,12,0.1258,8,#DDA0DD,116,142
developmental,0.1176,8,0.1197,8,#DDA0DD,82,90
mental,0.2059,14,0.1162,0,#7B68EE,122,249
brain,0.1618,11,0.0927,8,#DDA0DD,90,144
health,0.25,17,0.087,0,#7B68EE,158,287
disorders,0.1324,9,0.0672,2,#4ECDC4,91,121
risk,0.1324,9,0.0571,6,#FF8C94,96,117
symptoms,0.1618,11,0.0462,2,#4ECDC4,93,167
adulthood,0.0735,5,0.0443,4,#45B7D1,95,72
behavior,0.0882,6,0.0408,5,#96CEB4,71,65
interventions,0.0735,5,0.0366,0,#7B68EE,52,45
early,0.0882,6,0.036,4,#45B7D1,85,84
parent,0.0588,4,0.032,5,#96CEB4,44,37
cognitive,0.0735,5,0.0282,8,#DDA0DD,58,60
late,0.0441,3,0.0277,4,#45B7D1,34,38
bullying,0.0588,4,0.0277,0,#7B68EE,42,54
problems,0.0588,4,0.0233,0,#7B68EE,47,56
associations,0.0588,4,0.0217,2,#4ECDC4,43,40
control,0.0882,6,0.0151,1,#FF6B6B,57,68
school,0.0588,4,0.0133,0,#7B68EE,45,39
peer,0.0441,3,0.0129,8,#DDA0DD,62,42
cortex,0.0441,3,0.0123,8,#DDA0DD,34,40
disorder,0.0588,4,0.0121,2,#4ECDC4,56,44
depression,0.1029,7,0.0068,2,#4ECDC4,92,99
anxiety,0.1176,8,0.0064,2,#4ECDC4,80,126
depressive,0.0588,4,0.0044,2,#4ECDC4,48,71
processes,0.0441,3,0.0032,8,#DDA0DD,39,30
regions,0.0294,2,0.0024,8,#DDA0DD,35,25
psychological,0.0441,3,0.0022,2,#4ECDC4,29,29
substance,0.0441,3,0.0013,2,#4ECDC4,47,29
covid,0.0588,4,0.0007,0,#7B68EE,20,40
media,0.0294,2,0.0,8,#DDA0DD,45,45
prefrontal,0.0294,2,0.0,8,#DDA0DD,28,32
adults,0.0147,1,0.0,2,#4ECDC4,40,19
emotion,0.0441,3,0.0,1,#FF6B6B,49,47
self,0.0588,4,0.0,2,#4ECDC4,77,51
pandemic,0.0588,4,0.0,0,#7B68EE,20,51
changes,0.0441,3,0.0,8,#DDA0DD,53,36
parents,0.0147,1,0.0,2,#4ECDC4,23,16
victimization,0.0147,1,0.0,0,#7B68EE,25,18
girls,0.0147,1,0.0,3,#FFD93D,40,19
boys,0.0147,1,0.0,3,#FFD93D,23,19
influence,0.0294,2,0.0,8,#DDA0DD,41,29
taking,0.0147,1,0.0,6,#FF8C94,26,18
regulation,0.0441,3,0.0,1,#FF6B6B,43,46
trajectories,0.0147,1,0.0,8,#DDA0DD,26,13
service,0.0294,2,0.0,0,#7B68EE,21,26
sex,0.0441,3,0.0,5,#96CEB4,34,32
behaviors,0.0294,2,0.0,6,#FF8C94,67,21
maturation,0.0147,1,0.0,8,#DDA0DD,31,15
treatment,0.0147,1,0.0,2,#4ECDC4,34,15
understanding,0.0294,2,0.0,8,#DDA0DD,37,19
analyses,0.0147,1,0.0,7,#A8D8EA,32,12
meta,0.0147,1,0.0,7,#A8D8EA,26,12
sexual,0.0441,3,0.0,5,#96CEB4,26,30
physical,0.0147,1,0.0,8,#DDA0DD,27,10
survey,0.0147,1,0.0,2,#4ECDC4,22,10
psychiatric,0.0147,1,0.0,2,#4ECDC4,20,10
internalizing,0.0147,1,0.0,2,#4ECDC4,21,10
evidence,0.0147,1,0.0,2,#4ECDC4,56,9
high,0.0147,1,0.0,6,#FF8C94,27,9
behavioral,0.0147,1,0.0,8,#DDA0DD,29,9
middle,0.0147,1,0.0,4,#45B7D1,24,9
onset,0.0147,1,0.0,2,#4ECDC4,20,8
longitudinal,0.0147,1,0.0,0,#7B68EE,45,8
mechanisms,0.0147,1,0.0,8,#DDA0DD,26,8
sleep,0.0147,1,0.0,8,#DDA0DD,50,8
