node,degree_centrality,degree_count,betweenness_centrality,community,community_color,freq,weighted_degree
health,0.48,36,0.5959,0,#7B68EE,303,747
asd,0.2133,16,0.2029,1,#FF6B6B,190,293
maltreatment,0.1467,11,0.1706,5,#96CEB4,165,164
adversity,0.0533,4,0.1434,2,#4ECDC4,93,58
depression,0.0533,4,0.1184,3,#FFD93D,74,61
development,0.04,3,0.1005,2,#4ECDC4,112,39
risk,0.1733,13,0.0905,3,#FFD93D,141,192
psychiatric,0.0933,7,0.0796,3,#FFD93D,79,106
aged,0.08,6,0.0768,1,#FF6B6B,87,102
early,0.04,3,0.0764,2,#4ECDC4,93,37
disorder,0.0667,5,0.0699,1,#FF6B6B,76,60
parents,0.04,3,0.0584,3,#FFD93D,108,30
mental,0.2267,17,0.0553,0,#7B68EE,191,423
emotional,0.0933,7,0.0518,5,#96CEB4,84,90
meta,0.04,3,0.0515,5,#96CEB4,49,39
behavioral,0.04,3,0.0495,0,#7B68EE,47,34
social,0.0667,5,0.0357,0,#7B68EE,78,70
adolescents,0.0933,7,0.0353,0,#7B68EE,101,150
problems,0.08,6,0.035,0,#7B68EE,94,102
stress,0.04,3,0.0314,4,#45B7D1,74,39
learning,0.0267,2,0.0259,2,#4ECDC4,36,20
physical,0.1067,8,0.0133,5,#96CEB4,94,177
months,0.0267,2,0.013,1,#FF6B6B,33,23
conditions,0.0267,2,0.0123,0,#7B68EE,34,22
developmental,0.04,3,0.0123,1,#FF6B6B,64,37
cognitive,0.0267,2,0.0108,2,#4ECDC4,38,19
behavior,0.0267,2,0.0068,4,#45B7D1,29,20
disorders,0.08,6,0.0036,3,#FFD93D,107,126
aces,0.0533,4,0.0036,0,#7B68EE,71,56
autism,0.0533,4,0.0032,1,#FF6B6B,44,58
anxiety,0.0533,4,0.0031,3,#FFD93D,85,73
long,0.0533,4,0.0018,0,#7B68EE,30,64
support,0.0533,4,0.0016,0,#7B68EE,63,48
adult,0.04,3,0.0007,0,#7B68EE,65,38
addm,0.0533,4,0.0004,1,#FF6B6B,32,64
experiences,0.0533,4,0.0004,0,#7B68EE,62,62
sexual,0.0533,4,0.0,5,#96CEB4,36,68
neglect,0.0533,4,0.0,5,#96CEB4,49,77
abuse,0.1067,8,0.0,5,#96CEB4,139,183
white,0.0533,4,0.0,1,#FF6B6B,35,70
sites,0.04,3,0.0,1,#FF6B6B,42,59
hispanic,0.0533,4,0.0,1,#FF6B6B,44,67
public,0.0133,1,0.0,0,#7B68EE,29,24
diagnosis,0.0267,2,0.0,1,#FF6B6B,41,33
care,0.0133,1,0.0,0,#7B68EE,41,16
diagnostic,0.0133,1,0.0,1,#FF6B6B,40,18
black,0.04,3,0.0,1,#FF6B6B,31,48
estimates,0.04,3,0.0,1,#FF6B6B,36,40
parenting,0.0133,1,0.0,4,#45B7D1,69,19
psychopathology,0.0267,2,0.0,2,#4ECDC4,57,36
case,0.0133,1,0.0,1,#FF6B6B,35,19
adverse,0.0267,2,0.0,0,#7B68EE,45,35
term,0.04,3,0.0,0,#7B68EE,30,53
pandemic,0.0533,4,0.0,0,#7B68EE,62,94
covid,0.0533,4,0.0,0,#7B68EE,60,90
life,0.0133,1,0.0,2,#4ECDC4,55,13
adulthood,0.0133,1,0.0,0,#7B68EE,45,14
non,0.04,3,0.0,1,#FF6B6B,33,35
trauma,0.0267,2,0.0,3,#FFD93D,85,23
analyses,0.0133,1,0.0,5,#96CEB4,37,15
multiple,0.0133,1,0.0,3,#FFD93D,43,11
evidence,0.0133,1,0.0,0,#7B68EE,67,12
treatment,0.0133,1,0.0,0,#7B68EE,42,12
consequences,0.0267,2,0.0,0,#7B68EE,38,21
self,0.0133,1,0.0,6,#FF8C94,58,11
disease,0.0133,1,0.0,0,#7B68EE,30,11
regulation,0.0133,1,0.0,6,#FF8C94,40,11
interventions,0.0133,1,0.0,5,#96CEB4,64,11
systematic,0.0133,1,0.0,5,#96CEB4,33,10
online,0.0133,1,0.0,2,#4ECDC4,28,11
parent,0.0133,1,0.0,0,#7B68EE,69,10
symptoms,0.0133,1,0.0,3,#FFD93D,51,10
parental,0.0133,1,0.0,3,#FFD93D,58,10
exposure,0.0133,1,0.0,0,#7B68EE,53,10
resilience,0.0133,1,0.0,2,#4ECDC4,46,10
associations,0.0133,1,0.0,5,#96CEB4,36,9
