node,degree_centrality,degree_count,betweenness_centrality,community,community_color,freq,weighted_degree
justice,0.4286,33,0.4084,0,#7B68EE,90,236
exposure,0.1299,10,0.2872,1,#FF6B6B,19,37
social,0.1558,12,0.1977,7,#A8D8EA,36,64
stress,0.1948,15,0.1655,1,#FF6B6B,38,80
system,0.1558,12,0.0811,0,#7B68EE,51,98
abuse,0.1169,9,0.0773,2,#4ECDC4,18,48
offenders,0.1558,12,0.0641,2,#4ECDC4,41,77
mice,0.0649,5,0.0525,1,#FF6B6B,16,24
problems,0.1039,8,0.0508,3,#FFD93D,21,45
substance,0.0649,5,0.0467,3,#FFD93D,13,21
male,0.0649,5,0.0467,2,#4ECDC4,13,25
trauma,0.0779,6,0.044,4,#45B7D1,25,33
prefrontal,0.0519,4,0.0416,7,#A8D8EA,10,18
behavior,0.0519,4,0.0328,7,#A8D8EA,26,17
delinquency,0.0519,4,0.0326,3,#FFD93D,22,18
recidivism,0.0909,7,0.0325,2,#4ECDC4,22,42
disorders,0.026,2,0.0296,1,#FF6B6B,13,9
treatment,0.0649,5,0.0252,3,#FFD93D,24,25
behavioral,0.0519,4,0.0247,3,#FFD93D,20,24
serious,0.026,2,0.0243,2,#4ECDC4,9,9
cortex,0.039,3,0.0243,7,#A8D8EA,14,16
girls,0.026,2,0.0243,5,#96CEB4,9,9
race,0.026,2,0.0243,0,#7B68EE,9,8
policy,0.026,2,0.0173,4,#45B7D1,8,9
family,0.0519,4,0.0161,0,#7B68EE,25,18
involvement,0.0649,5,0.0141,0,#7B68EE,23,28
risk,0.0909,7,0.0134,2,#4ECDC4,28,46
sexual,0.0519,4,0.0096,2,#4ECDC4,14,21
development,0.039,3,0.0076,4,#45B7D1,17,12
mental,0.0649,5,0.0041,3,#FFD93D,17,36
health,0.1299,10,0.0038,3,#FFD93D,31,78
parental,0.039,3,0.0028,0,#7B68EE,13,14
response,0.026,2,0.0019,1,#FF6B6B,8,9
practice,0.026,2,0.0014,4,#45B7D1,7,8
repeated,0.0519,4,0.0007,1,#FF6B6B,9,24
services,0.0649,5,0.0005,0,#7B68EE,16,32
sex,0.026,2,0.0,7,#A8D8EA,15,14
play,0.026,2,0.0,7,#A8D8EA,11,14
systems,0.013,1,0.0,0,#7B68EE,16,9
informed,0.026,2,0.0,4,#45B7D1,7,13
myoclonic,0.026,2,0.0,8,#DDA0DD,11,12
violent,0.0519,4,0.0,2,#4ECDC4,11,22
females,0.026,2,0.0,7,#A8D8EA,12,13
males,0.026,2,0.0,7,#A8D8EA,12,13
female,0.039,3,0.0,2,#4ECDC4,10,18
epilepsy,0.026,2,0.0,8,#DDA0DD,11,13
criminal,0.026,2,0.0,0,#7B68EE,11,10
sports,0.013,1,0.0,3,#FFD93D,8,6
adult,0.039,3,0.0,1,#FF6B6B,15,16
juveniles,0.039,3,0.0,0,#7B68EE,22,15
function,0.026,2,0.0,1,#FF6B6B,7,11
contact,0.013,1,0.0,0,#7B68EE,8,7
restraint,0.039,3,0.0,1,#FF6B6B,9,17
executive,0.026,2,0.0,1,#FF6B6B,7,10
chronic,0.026,2,0.0,1,#FF6B6B,12,11
service,0.026,2,0.0,3,#FFD93D,10,9
brain,0.026,2,0.0,1,#FF6B6B,9,9
evidence,0.013,1,0.0,5,#96CEB4,14,5
complex,0.026,2,0.0,4,#45B7D1,8,9
regions,0.026,2,0.0,1,#FF6B6B,7,9
adolescents,0.013,1,0.0,0,#7B68EE,14,5
involved,0.013,1,0.0,0,#7B68EE,8,5
examine,0.013,1,0.0,0,#7B68EE,8,4
adulthood,0.039,3,0.0,7,#A8D8EA,10,11
functional,0.026,2,0.0,8,#DDA0DD,14,9
intervention,0.013,1,0.0,2,#4ECDC4,10,4
adverse,0.013,1,0.0,6,#FF8C94,8,4
experiences,0.013,1,0.0,6,#FF8C94,10,4
care,0.013,1,0.0,0,#7B68EE,7,4
interventions,0.026,2,0.0,2,#4ECDC4,15,8
gender,0.013,1,0.0,0,#7B68EE,7,4
school,0.013,1,0.0,0,#7B68EE,10,4
known,0.013,1,0.0,0,#7B68EE,9,4
behaviors,0.013,1,0.0,7,#A8D8EA,8,4
support,0.013,1,0.0,7,#A8D8EA,7,4
frontal,0.013,1,0.0,7,#A8D8EA,9,4
offending,0.013,1,0.0,2,#4ECDC4,11,3
traumatic,0.026,2,0.0,1,#FF6B6B,7,6
