node,degree_centrality,degree_count,betweenness_centrality,community,community_color,freq,weighted_degree
unaccompanied,0.2742,17,0.2213,1,#FF6B6B,80,175
health,0.371,23,0.1892,2,#4ECDC4,118,284
mental,0.3871,24,0.1489,2,#4ECDC4,117,306
symptoms,0.2742,17,0.1434,3,#FFD93D,85,163
psychiatric,0.0806,5,0.1148,6,#FF8C94,23,35
risk,0.129,8,0.0922,2,#4ECDC4,54,65
depression,0.2258,14,0.0888,3,#FFD93D,109,144
testing,0.0484,3,0.0571,6,#FF8C94,22,27
high,0.1452,9,0.0546,1,#FF6B6B,44,77
ptsd,0.1774,11,0.0544,3,#FFD93D,56,111
traumatic,0.1452,9,0.0513,3,#FFD93D,34,74
experiences,0.0645,4,0.0455,3,#FFD93D,38,30
adolescents,0.0968,6,0.0355,0,#7B68EE,48,42
trauma,0.0645,4,0.0303,1,#FF6B6B,27,25
seeking,0.0484,3,0.0291,1,#FF6B6B,27,29
population,0.0484,3,0.0291,1,#FF6B6B,30,20
therapy,0.0484,3,0.0291,1,#FF6B6B,22,20
workers,0.0645,4,0.0279,2,#4ECDC4,19,27
school,0.0645,4,0.0248,0,#7B68EE,33,32
events,0.0484,3,0.0225,3,#FFD93D,23,23
refugee,0.1774,11,0.0197,1,#FF6B6B,71,150
disorder,0.1129,7,0.0189,3,#FFD93D,28,54
urm,0.1129,7,0.0175,1,#FF6B6B,57,64
medical,0.0323,2,0.0145,6,#FF8C94,22,13
support,0.0645,4,0.0116,2,#4ECDC4,27,24
disorders,0.0645,4,0.0106,2,#4ECDC4,31,42
work,0.0484,3,0.0052,2,#4ECDC4,37,21
problems,0.0806,5,0.0033,2,#4ECDC4,38,39
depressive,0.0323,2,0.0033,3,#FFD93D,17,12
distress,0.0484,3,0.0021,2,#4ECDC4,21,22
anxiety,0.1129,7,0.0021,3,#FFD93D,40,79
intervention,0.0323,2,0.0011,3,#FFD93D,29,12
sexual,0.0484,3,0.0011,4,#45B7D1,47,32
psychological,0.0484,3,0.0005,2,#4ECDC4,39,19
abuse,0.0161,1,0.0,4,#45B7D1,27,10
post,0.0806,5,0.0,3,#FFD93D,29,39
life,0.0323,2,0.0,3,#FFD93D,28,19
treatment,0.0484,3,0.0,2,#4ECDC4,38,24
stress,0.1129,7,0.0,3,#FFD93D,28,67
online,0.0323,2,0.0,4,#45B7D1,44,32
grooming,0.0323,2,0.0,4,#45B7D1,25,28
asylum,0.0323,2,0.0,1,#FF6B6B,28,23
urms,0.0968,6,0.0,3,#FFD93D,49,58
services,0.0323,2,0.0,2,#4ECDC4,26,23
genetic,0.0323,2,0.0,6,#FF8C94,21,19
social,0.0484,3,0.0,2,#4ECDC4,45,19
american,0.0484,3,0.0,0,#7B68EE,17,25
adults,0.0161,1,0.0,5,#96CEB4,28,7
help,0.0161,1,0.0,1,#FF6B6B,18,7
development,0.0323,2,0.0,2,#4ECDC4,20,13
care,0.0323,2,0.0,1,#FF6B6B,40,16
healthcare,0.0323,2,0.0,2,#4ECDC4,17,14
infractions,0.0484,3,0.0,0,#7B68EE,18,27
cognitive,0.0161,1,0.0,1,#FF6B6B,27,7
older,0.0161,1,0.0,5,#96CEB4,19,7
non,0.0161,1,0.0,6,#FF8C94,35,6
refugees,0.0161,1,0.0,1,#FF6B6B,18,6
subjects,0.0161,1,0.0,3,#FFD93D,21,6
vulnerable,0.0161,1,0.0,1,#FF6B6B,17,6
conditions,0.0323,2,0.0,2,#4ECDC4,16,12
exposure,0.0161,1,0.0,3,#FFD93D,18,6
parents,0.0323,2,0.0,0,#7B68EE,42,11
self,0.0161,1,0.0,2,#4ECDC4,38,5
