node,degree_centrality,degree_count,betweenness_centrality,community,community_color,freq,weighted_degree
pregnancy,0.4545,30,0.2984,0,#7B68EE,167,302
teenagers,0.3333,22,0.28,4,#45B7D1,148,214
risk,0.2424,16,0.2035,2,#4ECDC4,110,159
social,0.2424,16,0.2032,1,#FF6B6B,105,144
health,0.303,20,0.1489,5,#96CEB4,101,187
suicide,0.0606,4,0.0678,3,#FFD93D,56,35
school,0.0909,6,0.0603,6,#FF8C94,65,59
marketing,0.0455,3,0.0601,1,#FF6B6B,19,25
mothers,0.1364,9,0.0463,0,#7B68EE,92,93
family,0.0909,6,0.0459,4,#45B7D1,61,47
behavior,0.0909,6,0.0416,2,#4ECDC4,57,63
female,0.0455,3,0.039,1,#FF6B6B,36,24
education,0.1061,7,0.0371,6,#FF8C94,58,54
knowledge,0.0606,4,0.0345,4,#45B7D1,28,26
communication,0.0758,5,0.0324,4,#45B7D1,38,44
parents,0.1515,10,0.0311,4,#45B7D1,84,84
sexual,0.1364,9,0.0308,4,#45B7D1,64,79
status,0.0303,2,0.0303,0,#7B68EE,27,14
adolescents,0.1364,9,0.0303,1,#FF6B6B,69,69
parental,0.0303,2,0.0303,4,#45B7D1,25,14
self,0.0606,4,0.0276,3,#FFD93D,67,28
depression,0.0606,4,0.0221,0,#7B68EE,51,26
towards,0.0455,3,0.0179,0,#7B68EE,17,22
girls,0.0909,6,0.0142,0,#7B68EE,66,51
driving,0.1364,9,0.0119,2,#4ECDC4,58,106
early,0.0606,4,0.0103,0,#7B68EE,41,38
while,0.0303,2,0.0084,2,#4ECDC4,38,12
control,0.0455,3,0.0084,3,#FFD93D,29,22
support,0.0909,6,0.0073,4,#45B7D1,48,44
influence,0.0303,2,0.007,1,#FF6B6B,34,15
women,0.0606,4,0.0023,0,#7B68EE,36,31
high,0.0455,3,0.0,6,#FF8C94,46,30
students,0.0152,1,0.0,6,#FF8C94,39,13
reproductive,0.0303,2,0.0,5,#96CEB4,22,22
media,0.0303,2,0.0,1,#FF6B6B,36,25
subjects,0.0303,2,0.0,3,#FFD93D,19,16
drivers,0.0303,2,0.0,2,#4ECDC4,19,19
educational,0.0152,1,0.0,0,#7B68EE,32,10
peer,0.0455,3,0.0,2,#4ECDC4,53,27
marriage,0.0303,2,0.0,0,#7B68EE,27,22
care,0.0303,2,0.0,5,#96CEB4,24,18
passenger,0.0303,2,0.0,2,#4ECDC4,26,21
gender,0.0303,2,0.0,4,#45B7D1,47,20
economic,0.0303,2,0.0,1,#FF6B6B,22,21
sex,0.0455,3,0.0,6,#FF8C94,37,31
mental,0.0303,2,0.0,5,#96CEB4,31,28
risky,0.0606,4,0.0,2,#4ECDC4,37,51
pregnant,0.0909,6,0.0,0,#7B68EE,47,58
africa,0.0152,1,0.0,0,#7B68EE,18,9
information,0.0303,2,0.0,5,#96CEB4,30,18
public,0.0152,1,0.0,5,#96CEB4,17,9
parent,0.0303,2,0.0,3,#FFD93D,36,14
parenting,0.0152,1,0.0,0,#7B68EE,37,8
male,0.0152,1,0.0,1,#FF6B6B,17,8
food,0.0152,1,0.0,1,#FF6B6B,30,9
brain,0.0152,1,0.0,3,#FFD93D,27,7
development,0.0303,2,0.0,1,#FF6B6B,40,13
performance,0.0152,1,0.0,6,#FF8C94,17,7
attitudes,0.0303,2,0.0,0,#7B68EE,19,13
problems,0.0152,1,0.0,4,#45B7D1,17,7
mobile,0.0152,1,0.0,4,#45B7D1,18,7
sexuality,0.0152,1,0.0,4,#45B7D1,17,6
household,0.0152,1,0.0,0,#7B68EE,17,6
contraceptive,0.0152,1,0.0,4,#45B7D1,18,6
families,0.0152,1,0.0,5,#96CEB4,19,6
schools,0.0152,1,0.0,5,#96CEB4,18,6
examine,0.0152,1,0.0,0,#7B68EE,19,6
