node,degree_centrality,degree_count,betweenness_centrality,community,community_color,freq,weighted_degree
health,0.7324,52,0.5146,0,#7B68EE,706,1724
mental,0.4789,34,0.3186,0,#7B68EE,455,1166
anxiety,0.1408,10,0.0732,6,#FF8C94,133,209
social,0.1972,14,0.0711,7,#A8D8EA,325,440
support,0.0986,7,0.0598,7,#A8D8EA,179,155
self,0.0986,7,0.0575,6,#FF8C94,186,184
symptoms,0.0845,6,0.0559,6,#FF8C94,112,123
systematic,0.0423,3,0.0555,2,#4ECDC4,82,68
risk,0.1408,10,0.0445,3,#FFD93D,182,222
suicide,0.0563,4,0.0373,3,#FFD93D,133,69
depression,0.1268,9,0.0354,6,#FF8C94,167,194
interventions,0.1268,9,0.0346,0,#7B68EE,156,195
prevention,0.0423,3,0.0282,3,#FFD93D,71,52
psychological,0.0423,3,0.0282,6,#FF8C94,70,43
meta,0.0282,2,0.0282,2,#4ECDC4,50,34
physical,0.0282,2,0.0282,1,#FF6B6B,81,55
gender,0.0423,3,0.0282,3,#FFD93D,91,56
suicidal,0.0282,2,0.0282,6,#FF8C94,89,36
school,0.0423,3,0.0282,3,#FFD93D,127,60
covid,0.0423,3,0.0282,8,#DDA0DD,49,50
experience,0.0282,2,0.02,0,#7B68EE,56,29
treatment,0.0423,3,0.0131,6,#FF8C94,92,46
transgender,0.0563,4,0.0113,3,#FFD93D,93,78
high,0.0563,4,0.0097,3,#FFD93D,99,82
effectiveness,0.0563,4,0.0097,0,#7B68EE,45,74
adults,0.0845,6,0.0048,7,#A8D8EA,153,134
online,0.0704,5,0.0034,4,#45B7D1,95,116
sexual,0.0423,3,0.0008,3,#FFD93D,100,67
problems,0.0423,3,0.0,0,#7B68EE,118,128
harm,0.0282,2,0.0,6,#FF8C94,79,67
media,0.0563,4,0.0,7,#A8D8EA,124,168
services,0.0423,3,0.0,0,#7B68EE,82,103
service,0.0282,2,0.0,0,#7B68EE,78,59
depressive,0.0282,2,0.0,6,#FF8C94,50,52
public,0.0282,2,0.0,0,#7B68EE,51,51
evidence,0.0563,4,0.0,0,#7B68EE,121,102
seeking,0.0563,4,0.0,4,#45B7D1,69,120
help,0.0563,4,0.0,4,#45B7D1,103,143
care,0.0423,3,0.0,0,#7B68EE,179,99
disorders,0.0423,3,0.0,0,#7B68EE,101,87
adult,0.0423,3,0.0,6,#FF8C94,157,54
adolescents,0.0423,3,0.0,7,#A8D8EA,85,64
information,0.0141,1,0.0,0,#7B68EE,56,26
behaviors,0.0282,2,0.0,3,#FFD93D,64,39
minority,0.0282,2,0.0,3,#FFD93D,50,47
climate,0.0563,4,0.0,5,#96CEB4,72,78
change,0.0282,2,0.0,5,#96CEB4,52,47
activity,0.0141,1,0.0,1,#FF6B6B,49,27
digital,0.0423,3,0.0,0,#7B68EE,76,89
students,0.0141,1,0.0,3,#FFD93D,43,20
development,0.0282,2,0.0,7,#A8D8EA,92,36
disorder,0.0141,1,0.0,0,#7B68EE,64,19
loneliness,0.0141,1,0.0,6,#FF8C94,49,18
aged,0.0282,2,0.0,0,#7B68EE,90,40
identity,0.0141,1,0.0,3,#FFD93D,63,21
substance,0.0282,2,0.0,0,#7B68EE,86,40
quality,0.0141,1,0.0,0,#7B68EE,72,16
pandemic,0.0141,1,0.0,8,#DDA0DD,42,16
status,0.0141,1,0.0,0,#7B68EE,47,17
better,0.0141,1,0.0,0,#7B68EE,50,16
analyses,0.0141,1,0.0,2,#4ECDC4,50,16
range,0.0141,1,0.0,0,#7B68EE,51,15
distress,0.0141,1,0.0,6,#FF8C94,49,15
intervention,0.0141,1,0.0,3,#FFD93D,79,16
emotional,0.0141,1,0.0,7,#A8D8EA,59,15
education,0.0141,1,0.0,0,#7B68EE,65,14
stress,0.0141,1,0.0,6,#FF8C94,72,14
identified,0.0141,1,0.0,0,#7B68EE,96,14
family,0.0141,1,0.0,7,#A8D8EA,116,14
peer,0.0141,1,0.0,7,#A8D8EA,63,14
adhd,0.0141,1,0.0,6,#FF8C94,61,14
population,0.0141,1,0.0,0,#7B68EE,61,13
