sheet,group,rank,term,this_group,others_avg,diff,field
distinctive,child/children,1,aces,0.23244,0.01312,0.21931,law
distinctive,child/children,2,csa,0.17974,0.00524,0.1745,law
distinctive,child/children,3,children rights,0.18203,0.00871,0.17332,law
distinctive,child/children,4,child protection,0.17171,0.01433,0.15738,law
distinctive,child/children,5,child abuse,0.1185,0.00724,0.11126,law
distinctive,child/children,6,rights child,0.11125,0.01093,0.10032,law
distinctive,child/children,7,child marriage,0.10064,0.00126,0.09938,law
distinctive,child/children,8,crc,0.10131,0.00212,0.09919,law
distinctive,child/children,9,child sexual,0.11125,0.01251,0.09874,law
distinctive,child/children,10,maltreatment,0.11202,0.01845,0.09356,law
distinctive,child/children,11,child welfare,0.10784,0.02428,0.08357,law
distinctive,child/children,12,early childhood,0.08824,0.00638,0.08185,law
distinctive,child/children,13,violence,0.16203,0.08035,0.08168,law
distinctive,child/children,14,methamphetamine,0.08129,0.00086,0.08043,law
distinctive,child/children,15,adversity,0.08129,0.00258,0.07871,law
distinctive,child/children,16,convention rights,0.08706,0.00838,0.07868,law
distinctive,child/children,17,marriage,0.11482,0.03785,0.07697,law
distinctive,child/children,18,childhood experiences,0.07981,0.00502,0.07479,law
distinctive,child/children,19,poverty,0.0719,0.00379,0.0681,law
distinctive,child/children,20,csec,0.06967,0.00297,0.06671,law
distinctive,youth,1,police,0.29539,0.06432,0.23107,law
distinctive,youth,2,young adults,0.21772,0.00386,0.21386,law
distinctive,youth,3,youth justice,0.19901,0.01596,0.18305,law
distinctive,youth,4,young adult,0.15966,0.00171,0.15795,law
distinctive,youth,5,children young,0.14878,0.00821,0.14057,law
distinctive,youth,6,diversion,0.1306,0.00587,0.12473,law
distinctive,youth,7,suicide,0.10741,0.01671,0.0907,law
distinctive,youth,8,child welfare,0.10886,0.02407,0.08479,law
distinctive,youth,9,justice systems,0.09435,0.01047,0.08388,law
distinctive,youth,10,cigarette,0.08346,0.00651,0.07695,law
distinctive,youth,11,wales,0.0762,0.00408,0.07212,law
distinctive,youth,12,risk youth,0.06877,0.00125,0.06752,law
distinctive,youth,13,perceptions,0.07788,0.01079,0.06709,law
distinctive,youth,14,legal cynicism,0.07307,0.00751,0.06555,law
distinctive,youth,15,cynicism,0.07307,0.00751,0.06555,law
distinctive,youth,16,youth offenders,0.06841,0.00478,0.06363,law
distinctive,youth,17,firearm,0.09018,0.02898,0.0612,law
distinctive,youth,18,youth youth,0.06017,0.00077,0.0594,law
distinctive,youth,19,harm,0.08056,0.02234,0.05822,law
distinctive,youth,20,eviction,0.06017,0.00387,0.0563,law
distinctive,adolescent,1,consent,0.27383,0.04718,0.22666,law
distinctive,adolescent,2,marijuana,0.21743,0.02187,0.19556,law
distinctive,adolescent,3,contraception,0.12158,0.00485,0.11673,law
distinctive,adolescent,4,adulthood,0.14042,0.0287,0.11173,law
distinctive,adolescent,5,confidentiality,0.10419,0.0081,0.09608,law
distinctive,adolescent,6,confidential,0.10044,0.00524,0.0952,law
distinctive,adolescent,7,abortion,0.11325,0.02081,0.09244,law
distinctive,adolescent,8,access,0.14474,0.05303,0.09171,law
distinctive,adolescent,9,ethical,0.10953,0.02148,0.08805,law
distinctive,adolescent,10,pregnancy,0.11778,0.03184,0.08593,law
distinctive,adolescent,11,medical,0.12909,0.05043,0.07866,law
distinctive,adolescent,12,legal socialization,0.0814,0.00344,0.07796,law
distinctive,adolescent,13,violence,0.15648,0.08146,0.07502,law
distinctive,adolescent,14,health information,0.07513,0.00297,0.07217,law
distinctive,adolescent,15,assault,0.08154,0.01007,0.07147,law
distinctive,adolescent,16,developmental,0.09389,0.02402,0.06987,law
distinctive,adolescent,17,sexual assault,0.07701,0.00764,0.06937,law
distinctive,adolescent,18,adolescent health,0.06887,0.00077,0.0681,law
distinctive,adolescent,19,adolescent offenders,0.06887,0.00086,0.06801,law
distinctive,adolescent,20,legitimacy,0.07248,0.00514,0.06734,law
distinctive,minor,1,minors,0.67956,0.0298,0.64977,law
distinctive,minor,2,dmst,0.14338,0.00232,0.14105,law
distinctive,minor,3,trafficking,0.15754,0.02906,0.12847,law
distinctive,minor,4,sex trafficking,0.11866,0.00387,0.11479,law
distinctive,minor,5,unaccompanied,0.10018,0.00399,0.09618,law
distinctive,minor,6,minor sex,0.06922,0.00077,0.06844,law
distinctive,minor,7,abortions,0.06922,0.00125,0.06796,law
distinctive,minor,8,unaccompanied minors,0.06922,0.00155,0.06767,law
distinctive,minor,9,ends,0.07096,0.00341,0.06755,law
distinctive,minor,10,online,0.09658,0.03213,0.06445,law
distinctive,minor,11,patients,0.07722,0.01823,0.05899,law
distinctive,minor,12,disciplinary,0.06261,0.00399,0.05862,law
distinctive,minor,13,sextortion,0.05933,0.00077,0.05855,law
distinctive,minor,14,cigarettes,0.06261,0.00429,0.05832,law
distinctive,minor,15,consent,0.13282,0.07538,0.05745,law
distinctive,minor,16,jurisprudence,0.06796,0.01077,0.05718,law
distinctive,minor,17,hiv,0.06081,0.00979,0.05101,law
distinctive,minor,18,testing,0.05723,0.00705,0.05018,law
distinctive,minor,19,domestic minor,0.04592,0.00138,0.04454,law
distinctive,minor,20,contracts,0.04944,0.00503,0.04441,law
distinctive,teenage,1,teenage,0.52286,0.00903,0.51384,law
distinctive,teenage,2,education,0.20417,0.04498,0.15919,law
distinctive,teenage,3,pregnant,0.13264,0.00568,0.12697,law
distinctive,teenage,4,pregnancy,0.15004,0.02539,0.12465,law
distinctive,teenage,5,sexual harassment,0.11673,0.00356,0.11317,law
distinctive,teenage,6,harassment,0.10912,0.00367,0.10545,law
distinctive,teenage,7,teenage pregnancy,0.10055,0.00125,0.0993,law
distinctive,teenage,8,muslim,0.0817,0.00086,0.08084,law
distinctive,teenage,9,marriage,0.11367,0.03808,0.07558,law
distinctive,teenage,10,city,0.07853,0.00641,0.07212,law
distinctive,teenage,11,emotional,0.09816,0.02613,0.07203,law
distinctive,teenage,12,workers,0.08245,0.01457,0.06788,law
distinctive,teenage,13,gambling,0.06913,0.00396,0.06517,law
distinctive,teenage,14,perpetrators,0.07275,0.00843,0.06432,law
distinctive,teenage,15,pregnancies,0.06913,0.00626,0.06287,law
distinctive,teenage,16,early marriage,0.06897,0.00659,0.06238,law
distinctive,teenage,17,teenage pregnancies,0.06284,0.00125,0.06159,law
distinctive,teenage,18,online gambling,0.06284,0.00297,0.05988,law
distinctive,teenage,19,creative,0.05836,0.00149,0.05687,law
distinctive,teenage,20,teachers,0.05836,0.00298,0.05539,law
distinctive,juvenile,1,juvenile offenders,0.38515,0.00513,0.38002,law
distinctive,juvenile,2,recidivism,0.27321,0.0369,0.23631,law
distinctive,juvenile,3,juvenile delinquency,0.21382,0.00733,0.20648,law
distinctive,juvenile,4,behavioral health,0.14447,0.00552,0.13895,law
distinctive,juvenile,5,juvenile court,0.11879,0.0091,0.10969,law
distinctive,juvenile,6,subgroups,0.11879,0.0101,0.10869,law
distinctive,juvenile,7,adjudication,0.09631,0.00211,0.09421,law
distinctive,juvenile,8,delinquency prevention,0.09506,0.00086,0.0942,law
distinctive,juvenile,9,jj,0.09506,0.00172,0.09335,law
distinctive,juvenile,10,health problems,0.09629,0.01546,0.08083,law
distinctive,juvenile,11,health disorders,0.08253,0.00314,0.07939,law
distinctive,juvenile,12,race,0.09503,0.01879,0.07624,law
distinctive,juvenile,13,female juvenile,0.07605,0.00086,0.07519,law
distinctive,juvenile,14,juvenile probation,0.07605,0.00086,0.07519,law
distinctive,juvenile,15,multidimensional,0.07605,0.00125,0.0748,law
distinctive,juvenile,16,secure,0.08253,0.00785,0.07469,law
distinctive,juvenile,17,ptsd,0.07605,0.0031,0.07296,law
distinctive,juvenile,18,strategy,0.08253,0.00996,0.07257,law
distinctive,juvenile,19,probation,0.09503,0.02259,0.07244,law
distinctive,juvenile,20,trauma informed,0.08315,0.01611,0.06704,law
distinctive,youth,1,climate,0.18313,0.00291,0.18022,psychology
distinctive,youth,2,young adult,0.18275,0.00861,0.17414,psychology
distinctive,youth,3,young adults,0.17321,0.00847,0.16475,psychology
distinctive,youth,4,transgender,0.17113,0.00769,0.16344,psychology
distinctive,youth,5,media,0.19705,0.05614,0.14091,psychology
distinctive,youth,6,social media,0.16845,0.03,0.13844,psychology
distinctive,youth,7,digital,0.13985,0.01691,0.12294,psychology
distinctive,youth,8,harm,0.12554,0.01077,0.11477,psychology
distinctive,youth,9,help seeking,0.11811,0.00475,0.11336,psychology
distinctive,youth,10,online,0.15097,0.04558,0.10538,psychology
distinctive,youth,11,self harm,0.11811,0.01296,0.10515,psychology
distinctive,youth,12,children young,0.10489,0.00533,0.09956,psychology
distinctive,youth,13,sexual minority,0.09157,0.00073,0.09084,psychology
distinctive,youth,14,identity,0.10011,0.01883,0.08128,psychology
distinctive,youth,15,autistic,0.08375,0.00324,0.08051,psychology
distinctive,youth,16,adhd,0.09694,0.0174,0.07954,psychology
distinctive,youth,17,background,0.10965,0.0309,0.07875,psychology
distinctive,youth,18,smartphone,0.07885,0.00168,0.07717,psychology
distinctive,youth,19,minority,0.07946,0.00434,0.07512,psychology
distinctive,youth,20,loneliness,0.09017,0.01575,0.07441,psychology
distinctive,child/children,1,asd,0.40903,0.01186,0.39716,psychology
distinctive,child/children,2,maltreatment,0.30675,0.00745,0.2993,psychology
distinctive,child/children,3,childhood trauma,0.17556,0.00051,0.17505,psychology
distinctive,child/children,4,childhood adversity,0.17258,0.00051,0.17208,psychology
distinctive,child/children,5,adversity,0.17289,0.00706,0.16583,psychology
distinctive,child/children,6,children aged,0.16329,0.00104,0.16225,psychology
distinctive,child/children,7,aces,0.17837,0.0257,0.15267,psychology
distinctive,child/children,8,childhood maltreatment,0.15073,0.00192,0.14881,psychology
distinctive,child/children,9,trauma,0.15802,0.04435,0.11367,psychology
distinctive,child/children,10,pandemic,0.13347,0.03145,0.10202,psychology
distinctive,child/children,11,parenting,0.12828,0.02885,0.09942,psychology
distinctive,child/children,12,children asd,0.09522,0.00051,0.09471,psychology
distinctive,child/children,13,covid 19,0.12917,0.03455,0.09461,psychology
distinctive,child/children,14,covid,0.12917,0.03508,0.09409,psychology
