sheet,group,rank,term,tfidf_score,field
tfidf_top,child/children,1,aces,0.23244,law
tfidf_top,child/children,2,children rights,0.18203,law
tfidf_top,child/children,3,csa,0.17974,law
tfidf_top,child/children,4,child protection,0.17171,law
tfidf_top,child/children,5,violence,0.16203,law
tfidf_top,child/children,6,child abuse,0.1185,law
tfidf_top,child/children,7,marriage,0.11482,law
tfidf_top,child/children,8,maltreatment,0.11202,law
tfidf_top,child/children,9,child sexual,0.11125,law
tfidf_top,child/children,10,rights child,0.11125,law
tfidf_top,child/children,11,child welfare,0.10784,law
tfidf_top,child/children,12,crc,0.10131,law
tfidf_top,child/children,13,child marriage,0.10064,law
tfidf_top,child/children,14,medical,0.09915,law
tfidf_top,child/children,15,education,0.09915,law
tfidf_top,child/children,16,early childhood,0.08824,law
tfidf_top,child/children,17,understanding,0.08706,law
tfidf_top,child/children,18,trafficking,0.08706,law
tfidf_top,child/children,19,convention rights,0.08706,law
tfidf_top,child/children,20,decision,0.08464,law
tfidf_top,child/children,21,exploitation,0.08223,law
tfidf_top,child/children,22,adversity,0.08129,law
tfidf_top,child/children,23,methamphetamine,0.08129,law
tfidf_top,child/children,24,online,0.08121,law
tfidf_top,child/children,25,childhood experiences,0.07981,law
tfidf_top,youth,1,police,0.29539,law
tfidf_top,youth,2,young adults,0.21772,law
tfidf_top,youth,3,youth justice,0.19901,law
tfidf_top,youth,4,young adult,0.15966,law
tfidf_top,youth,5,children young,0.14878,law
tfidf_top,youth,6,diversion,0.1306,law
tfidf_top,youth,7,child welfare,0.10886,law
tfidf_top,youth,8,suicide,0.10741,law
tfidf_top,youth,9,recidivism,0.10473,law
tfidf_top,youth,10,marijuana,0.0964,law
tfidf_top,youth,11,justice systems,0.09435,law
tfidf_top,youth,12,18,0.0913,law
tfidf_top,youth,13,firearm,0.09018,law
tfidf_top,youth,14,cigarette,0.08346,law
tfidf_top,youth,15,harm,0.08056,law
tfidf_top,youth,16,violence,0.08056,law
tfidf_top,youth,17,perceptions,0.07788,law
tfidf_top,youth,18,wales,0.0762,law
tfidf_top,youth,19,delinquent,0.07519,law
tfidf_top,youth,20,tobacco,0.07463,law
tfidf_top,youth,21,legal cynicism,0.07307,law
tfidf_top,youth,22,cynicism,0.07307,law
tfidf_top,youth,23,access,0.0725,law
tfidf_top,youth,24,risk youth,0.06877,law
tfidf_top,youth,25,youth offenders,0.06841,law
tfidf_top,adolescent,1,consent,0.27383,law
tfidf_top,adolescent,2,marijuana,0.21743,law
tfidf_top,adolescent,3,violence,0.15648,law
tfidf_top,adolescent,4,police,0.14865,law
tfidf_top,adolescent,5,access,0.14474,law
tfidf_top,adolescent,6,adulthood,0.14042,law
tfidf_top,adolescent,7,medical,0.12909,law
tfidf_top,adolescent,8,contraception,0.12158,law
tfidf_top,adolescent,9,pregnancy,0.11778,law
tfidf_top,adolescent,10,abortion,0.11325,law
tfidf_top,adolescent,11,ethical,0.10953,law
tfidf_top,adolescent,12,confidentiality,0.10419,law
tfidf_top,adolescent,13,confidential,0.10044,law
tfidf_top,adolescent,14,developmental,0.09389,law
tfidf_top,adolescent,15,decision,0.08997,law
tfidf_top,adolescent,16,18,0.08215,law
tfidf_top,adolescent,17,assault,0.08154,law
tfidf_top,adolescent,18,firearm,0.08154,law
tfidf_top,adolescent,19,legal socialization,0.0814,law
tfidf_top,adolescent,20,sexual assault,0.07701,law
tfidf_top,adolescent,21,health information,0.07513,law
tfidf_top,adolescent,22,informed,0.07433,law
tfidf_top,adolescent,23,socialization,0.07401,law
tfidf_top,adolescent,24,rape,0.07401,law
tfidf_top,adolescent,25,legitimacy,0.07248,law
tfidf_top,minor,1,minors,0.67956,law
tfidf_top,minor,2,trafficking,0.15754,law
tfidf_top,minor,3,dmst,0.14338,law
tfidf_top,minor,4,consent,0.13282,law
tfidf_top,minor,5,sex trafficking,0.11866,law
tfidf_top,minor,6,decision,0.10811,law
tfidf_top,minor,7,unaccompanied,0.10018,law
tfidf_top,minor,8,online,0.09658,law
tfidf_top,minor,9,medical,0.08649,law
tfidf_top,minor,10,patients,0.07722,law
tfidf_top,minor,11,access,0.07722,law
tfidf_top,minor,12,ends,0.07096,law
tfidf_top,minor,13,minor sex,0.06922,law
tfidf_top,minor,14,abortions,0.06922,law
tfidf_top,minor,15,unaccompanied minors,0.06922,law
tfidf_top,minor,16,understanding,0.06796,law
tfidf_top,minor,17,jurisprudence,0.06796,law
tfidf_top,minor,18,cigarettes,0.06261,law
tfidf_top,minor,19,disciplinary,0.06261,law
tfidf_top,minor,20,domestic,0.06178,law
tfidf_top,minor,21,hiv,0.06081,law
tfidf_top,minor,22,sextortion,0.05933,law
tfidf_top,minor,23,violence,0.05869,law
tfidf_top,minor,24,testing,0.05723,law
tfidf_top,minor,25,tobacco,0.05723,law
tfidf_top,teenage,1,teenage,0.52286,law
tfidf_top,teenage,2,education,0.20417,law
tfidf_top,teenage,3,pregnancy,0.15004,law
tfidf_top,teenage,4,pregnant,0.13264,law
tfidf_top,teenage,5,sexual harassment,0.11673,law
tfidf_top,teenage,6,marriage,0.11367,law
tfidf_top,teenage,7,police,0.10994,law
tfidf_top,teenage,8,harassment,0.10912,law
tfidf_top,teenage,9,violence,0.10601,law
tfidf_top,teenage,10,teenage pregnancy,0.10055,law
tfidf_top,teenage,11,emotional,0.09816,law
tfidf_top,teenage,12,workers,0.08245,law
tfidf_top,teenage,13,minors,0.08245,law
tfidf_top,teenage,14,muslim,0.0817,law
tfidf_top,teenage,15,city,0.07853,law
tfidf_top,teenage,16,women,0.07853,law
tfidf_top,teenage,17,perpetrators,0.07275,law
tfidf_top,teenage,18,media,0.07067,law
tfidf_top,teenage,19,pregnancies,0.06913,law
tfidf_top,teenage,20,gambling,0.06913,law
tfidf_top,teenage,21,early marriage,0.06897,law
tfidf_top,teenage,22,conflict,0.06675,law
tfidf_top,teenage,23,socio,0.06675,law
tfidf_top,teenage,24,enforcement,0.06675,law
tfidf_top,teenage,25,online gambling,0.06284,law
tfidf_top,juvenile,1,juvenile offenders,0.38515,law
tfidf_top,juvenile,2,recidivism,0.27321,law
tfidf_top,juvenile,3,juvenile delinquency,0.21382,law
tfidf_top,juvenile,4,behavioral health,0.14447,law
tfidf_top,juvenile,5,juvenile court,0.11879,law
tfidf_top,juvenile,6,subgroups,0.11879,law
tfidf_top,juvenile,7,decision,0.10691,law
tfidf_top,juvenile,8,adjudication,0.09631,law
tfidf_top,juvenile,9,health problems,0.09629,law
tfidf_top,juvenile,10,jj,0.09506,law
tfidf_top,juvenile,11,delinquency prevention,0.09506,law
tfidf_top,juvenile,12,probation,0.09503,law
tfidf_top,juvenile,13,race,0.09503,law
tfidf_top,juvenile,14,trauma informed,0.08315,law
tfidf_top,juvenile,15,informed,0.08315,law
tfidf_top,juvenile,16,strategy,0.08253,law
tfidf_top,juvenile,17,health disorders,0.08253,law
tfidf_top,juvenile,18,secure,0.08253,law
tfidf_top,juvenile,19,parental involvement,0.08026,law
tfidf_top,juvenile,20,multidimensional,0.07605,law
tfidf_top,juvenile,21,ptsd,0.07605,law
tfidf_top,juvenile,22,juvenile probation,0.07605,law
tfidf_top,juvenile,23,female juvenile,0.07605,law
