sheet,group,rank,term,tfidf_score
tfidf_top,youth,1,young adults,0.20584
tfidf_top,youth,2,children young,0.17025
tfidf_top,youth,3,physical activity,0.16039
tfidf_top,youth,4,participatory,0.15787
tfidf_top,youth,5,pyd,0.15403
tfidf_top,youth,6,sport,0.14703
tfidf_top,youth,7,lgbtq,0.13692
tfidf_top,youth,8,transition youth,0.13692
tfidf_top,youth,9,strength,0.12282
tfidf_top,youth,10,youth development,0.11762
tfidf_top,youth,11,interview,0.11227
tfidf_top,youth,12,disabilities,0.09906
tfidf_top,youth,13,transgender,0.09413
tfidf_top,youth,14,autistic,0.09413
tfidf_top,youth,15,power,0.09356
tfidf_top,youth,16,wellbeing,0.09089
tfidf_top,youth,17,sexuality,0.08977
tfidf_top,youth,18,pa,0.08977
tfidf_top,youth,19,adulthood,0.08822
tfidf_top,youth,20,foster,0.08048
tfidf_top,youth,21,harm,0.07739
tfidf_top,youth,22,sexual health,0.07586
tfidf_top,youth,23,sexuality education,0.07429
tfidf_top,youth,24,foster care,0.07274
tfidf_top,youth,25,carers,0.07274
tfidf_top,child/children,1,childhood,0.61609
tfidf_top,child/children,2,early childhood,0.56741
tfidf_top,child/children,3,childhood education,0.17255
tfidf_top,child/children,4,young children,0.12753
tfidf_top,child/children,5,educators,0.11492
tfidf_top,child/children,6,father,0.09197
tfidf_top,child/children,7,pa,0.08317
tfidf_top,child/children,8,child development,0.07919
tfidf_top,child/children,9,professional,0.07578
tfidf_top,child/children,10,screen,0.07208
tfidf_top,child/children,11,parent child,0.07023
tfidf_top,child/children,12,preschool,0.06099
tfidf_top,child/children,13,child care,0.05586
tfidf_top,child/children,14,physical activity,0.05267
tfidf_top,child/children,15,child relationships,0.05109
tfidf_top,child/children,16,language skills,0.04854
tfidf_top,child/children,17,wellbeing,0.04788
tfidf_top,child/children,18,caregiver,0.04529
tfidf_top,child/children,19,cognitive development,0.04529
tfidf_top,child/children,20,child abuse,0.04087
tfidf_top,child/children,21,resources,0.0399
tfidf_top,child/children,22,nutrition,0.03881
tfidf_top,child/children,23,social emotional,0.03831
tfidf_top,child/children,24,income,0.03831
tfidf_top,child/children,25,mothers,0.03671
tfidf_top,minor,1,minors,0.70426
tfidf_top,minor,2,leadership,0.25942
tfidf_top,minor,3,undergraduate,0.14527
tfidf_top,minor,4,universities,0.11366
tfidf_top,minor,5,medical,0.11096
tfidf_top,minor,6,catalog,0.09726
tfidf_top,minor,7,edu,0.09726
tfidf_top,minor,8,engineering,0.09474
tfidf_top,minor,9,foreign,0.09352
tfidf_top,minor,10,infractions,0.08604
tfidf_top,minor,11,courses,0.08527
tfidf_top,minor,12,rights,0.07946
