source,target,weight
justice,system,183
justice,with,119
justice,criminal,104
justice,involved,75
justice,health,62
justice,involvement,44
justice,mental,41
justice,contact,38
justice,systems,34
justice,among,33
justice,aces,29
justice,trauma,28
justice,police,28
justice,risk,26
justice,practice,26
justice,offenders,26
justice,both,24
justice,welfare,24
justice,services,23
justice,care,21
justice,policy,20
justice,court,20
justice,informed,20
justice,legal,20
justice,treatment,19
justice,experiences,19
justice,adult,19
system,with,84
system,criminal,66
system,involvement,40
system,legal,37
system,involved,33
system,contact,32
system,health,31
system,care,21
system,protection,20
system,risk,20
system,mental,19
system,among,18
health,mental,136
health,with,105
health,care,68
health,public,57
health,services,44
health,adolescents,39
health,legal,36
health,rights,35
health,social,34
health,problems,34
health,treatment,31
health,sexual,30
health,among,29
health,involved,26
health,involvement,24
health,risk,23
health,substance,23
health,consent,23
health,well,22
health,information,22
health,law,21
health,policy,21
health,human,21
health,education,19
health,adult,18
health,criminal,18
mental,with,59
mental,problems,29
mental,substance,24
mental,among,19
mental,involvement,18
mental,treatment,18
abuse,sexual,130
abuse,with,51
abuse,cases,38
abuse,physical,29
abuse,substance,25
abuse,risk,24
abuse,offenders,21
abuse,among,21
sexual,with,66
sexual,exploitation,45
sexual,risk,36
sexual,violence,28
sexual,legal,27
sexual,criminal,23
sexual,adolescents,23
sexual,cases,22
sexual,adult,22
sexual,sex,21
sexual,offenders,21
sexual,rights,18
sexual,victims,18
with,risk,85
with,legal,78
with,law,72
with,criminal,64
with,rights,59
with,social,58
with,care,52
with,laws,48
with,both,48
with,police,47
with,parents,47
with,involved,47
with,adult,46
with,contact,44
with,interviews,42
with,protection,41
with,services,41
with,adolescents,41
with,among,40
with,involvement,40
with,evidence,37
with,adults,37
with,experiences,36
with,information,35
with,practice,34
with,offenders,34
with,offending,33
with,state,32
with,family,32
with,prior,31
with,court,30
with,treatment,30
with,early,30
with,self,30
with,greater,29
with,high,29
with,characteristics,29
with,while,29
with,cases,28
with,problems,28
with,work,28
with,service,27
with,violence,27
with,under,27
with,well,27
with,case,27
with,exposure,27
with,aces,27
with,trauma,27
with,across,26
with,parental,26
with,substance,25
with,two,25
with,professionals,24
with,development,24
with,one,24
with,individuals,24
with,access,23
with,human,23
with,first,23
with,policy,23
with,adulthood,23
with,history,23
with,within,23
with,school,22
with,many,22
with,education,22
with,medical,21
with,support,21
with,limited,21
with,out,21
with,public,21
with,sex,21
with,only,21
with,challenges,20
with,intervention,20
with,victims,20
with,non,20
with,teenagers,20
with,families,19
with,three,19
with,community,19
with,examine,19
with,act,19
with,gender,18
with,abstract,18
criminal,offenders,31
criminal,law,26
criminal,adult,25
criminal,risk,21
criminal,police,21
criminal,legal,20
criminal,among,20
risk,offenders,40
risk,assessment,26
risk,adult,23
risk,offending,23
risk,among,22
risk,treatment,21
risk,evidence,19
risk,recidivism,19
risk,high,18
human,rights,82
human,trafficking,22
rights,convention,57
rights,legal,42
rights,protection,23
rights,care,22
rights,social,22
rights,law,22
rights,framework,20
rights,adolescents,20
rights,right,19
rights,within,19
rights,education,19
rights,development,18
legal,law,46
legal,adolescents,46
legal,police,31
legal,social,29
legal,ethical,29
legal,protection,26
legal,consent,25
legal,policy,23
legal,laws,22
legal,framework,21
legal,court,19
involved,among,19
law,social,22
decision,making,68
care,out,22
care,adolescents,20
social,adolescents,20
social,protection,19
social,policy,18
laws,state,42
laws,policies,25
laws,consent,22
laws,firearm,22
laws,services,18
laws,access,18
adult,offenders,32
adolescents,consent,26
adolescents,among,24
exploitation,trafficking,20
involvement,parental,29
protection,participation,18
offenders,recidivism,22
experiences,aces,26
informed,trauma,34
practice,policy,25
family,school,23
sex,trafficking,31
early,marriage,19
physical,psychological,20
parental,consent,21
violence,against,24
efforts,prevention,21
